id,title,context,question,answers
nqii_10167,Sen,"Sen ( eða zen ) er form af búddisma , sem leggur megináherslu á hugleiðslu umfram dýrkun guðdóms , helgirita og regluverks . Í raun er það andstætt sen ( zen ) að það sé skilgreint , því hugmyndafræðin gengur út á að ekkert er í föstu formi . Allt er háð breytingum og það sem við höldum að sé veruleikinn er í raun okkar eigin túlkun samkvæmt hugmyndum zen . Sen varð til í Kína á 7. öld en breiddist þaðan til Víetnam , Kóreu og Japans . Japanski rithátturinn er "" zen "" en sá kínverski er "" chan "" ( 禪 ) en kínverska orðið er komið af orðinu dhyāna í sanskrít , sem merkir „ hugleiðsla “ .",Hvað er Zen ?,"{'text': array([' form af búddisma',
       ' form af búddisma , sem leggur megináherslu á hugleiðslu umfram dýrkun guðdóms , helgirita og regluverks'],
      dtype=object), 'answer_start': array([18, 18])}"
nqii_15616,Woodstock,"Artie Kornfeld og Mike Lang höfðu mikinn áhuga á því að setja á laggirnar hljóðver í Woodstock . Staðsetningin hentaði sér vel vegna þess að á þessum slóðum voru þegar ýmsir tónlistarmenn búsettir , þar á meðal Bob Dylan . Fjárfestarnir ungu Joel Rosenman og John Roberts hittu Lang og Kornfeld og hugmyndir þeirra urðu að því að þeir ákvaðu að halda þriggja daga tónlistarhátíð fyrir 50.000 manns . Með því vonuðu þeir að ágóði hátíðarinnar yrði nægur til þess að stofna hljóðverið .",Hvað komu margir á Woodstock hátíðina ?,"{'text': array([' 50.000 manns'], dtype=object), 'answer_start': array([384])}"
nqii_8213,Sauðfé,"Sauðfé ( fræðiheiti : "" Ovis aries "" ) eru ullarklædd , fjórfætt jórturdýr ( ættkvísl "" Ovis "" ) . Sauðfjárkyn eru talin upprunin í fjallendum Tyrklands og Írans ( fræðiheiti "" Ovis orientalis "" ) , en vísbendingar eru um það sauðfjárkyn frá því um 9.000 f.Kr.",Hvað eru sauðfé ?,"{'text': array(['Sauðfé ( fræðiheiti : "" Ovis aries "" ) eru ullarklædd , fjórfætt jórturdýr',
       ' eru ullarklædd , fjórfætt jórturdýr',
       ' ullarklædd , fjórfætt jórturdýr'], dtype=object), 'answer_start': array([ 0, 38, 42])}"
nqii_4501,Knattspyrna,"Knattspyrna eða fótbolti er boltaíþrótt þar sem farið er eftir 17 reglum sem voru staðfestar af Alþjóðaknattspyrnusambandinu þegar það var stofnað árið 1886 . Knattspyrna er leikin með knetti af tveimur allt að 11 manna liðum ( með markmanni ) sem reyna að sigra hitt liðið með því að skora fleiri mörk en andstæðingarnir . Til að skora mark þarf að spyrna boltanum inn í mark andstæðinganna . Ef mark er skorað í eigin mark kallast það sjálfsmark . Leikmenn mega ekki snerta boltann með hönd sinni , en markmaðurinn er undantekning . Hann má verja boltann með höndunum á afmörkuðu svæði sem kallast vítateigur .",Hvað eru margir í fótboltaliði ?,"{'text': array([' 11'], dtype=object), 'answer_start': array([210])}"
nqii_10465,Siglufjörður,"Samgöngur við Siglufjörð voru lengst af mjög erfiðar ; gönguleiðir lágu fyrr á öldum um háa og torfæra fjallvegi til Fljóta og Héðinsfjarðar en lengst af voru nær allir flutningar til Siglufjarðar á sjó . Árið 1946 var lagður um 15 km langur bílvegur yfir Siglufjarðarskarð sem er í 630 m hæð yfir sjávarmáli og var aðeins opið örfáa mánuði á ári en þótti þó mikil samgöngubót . Enn meira munaði þó um jarðgöngin Strákagöng , sem voru grafin í gegnum fjallið Stráka vestan Siglufjarðar og voru opnuð 1967 . Þau opnuðu Siglfirðingum greiða leið yfir í Skagafjörð . Árið 2010 voru síðan Héðinsfjarðargöng opnuð en þau tengja saman Siglufjörð og Ólafsfjörð með viðkomu í Héðinsfirði og er vegalengdin á milli þéttbýlisstaðanna aðeins 15 km .",Hvenær voru Héðinsfjarðargöng byggð ?,"{'text': array([' 2010'], dtype=object), 'answer_start': array([568])}"
nqii_4533,Bertrand Russell,"Bertrand Arthur William Russell ( 18. maí 1872 – 2. febrúar 1970 ) var breskur heimspekingur , rökfræðingur , stærðfræðingur og rithöfundur , sem skrifaði um mjög fjölbreytileg efni . Í heimspeki og stærðfræði er hann þekktastur fyrir að skrifa ásamt A.N. Whitehead bókina "" Principia Mathematica "" , sem kom út í þremur bindum á árunum 1910 til 1913 . Með verkinu hugðust þeir sýna fram á að hægt væri að leiða alla hreina stærðfræði út frá vissum rökfræðilegum frumsendum . Þeim tókst ekki ætlunarverkið en samt hefur verk þeirra reynst ákaflega áhrifaríkt . Russell er einnig mjög þekktur fyrir að uppgötva þversögnina , sem við hann er kennd : Russell-þversögnin ( "" the Russell paradox "" ) .",Hvert er helsta verk Bertrand Russell ?,"{'text': array([' "" Principia Mathematica ""'], dtype=object), 'answer_start': array([272])}"
nqii_13098,Listi yfir forseta Bandaríkjanna,"Tölurnar gefa til kynna hvar í röð kjörinna forseta viðkomandi er . Til dæmis gegndi George Washington embættinu tvö kjörtímabil í röð og er talinn fyrsti forseti Bandaríkjanna ( en ekki fyrsti og annar ) . Gerald Ford tók við embætti eftir að Richard Nixon sagði af sér og gegndi embættinu út annað kjörtímabil Nixons . Sú staðreynd að Ford var ekki kosinn í embættið hefur ekki áhrif á talninguna , sem gerir hann að 38. forseta Bandaríkjanna . Grover Cleveland gegndi embættinu tvisvar en ekki tvö kjörtímabil í röð og er því talinn bæði 22. og 24. forseti Bandaríkjanna . Af þessum sökum eru 44 forsetar á listanum en eru í raun einungis 43 einstaklingar allt í allt .",Hver var fyrsti forseti bandaríkjanna ?,"{'text': array([' George Washington',
       ' George Washington embættinu tvö kjörtímabil í röð og er talinn fyrsti forseti Bandaríkjanna'],
      dtype=object), 'answer_start': array([84, 84])}"
nqii_1303,Þjóðveldið,"Goðarnir voru helstu höfðingjar landsins og höfðu í heiðni líklega haft það hlutverk að stýra blótum en urðu síðar eingöngu veraldlegir höfðingjar . Goðinn var fulltrúi bændanna á héraðsþinginu og gætti hagsmuna þeira . Goðorðin voru persónuleg eign hvers goða , þau gengu í arf og voru stundum gefin eða seld . Þeim mátti líka skipta og sumir áttu aðeins hlut úr goðorði . Goðorðin voru 36 við stofnun Alþingis en var síðar fjölgað um þrjú og voru goðar eftir það 39 .",Hvaða hlutverk höfðu goðar á Alþingi ?,"{'text': array([' Goðinn var fulltrúi bændanna á héraðsþinginu og gætti hagsmuna þeira',
       ' Goðinn var fulltrúi bændanna á héraðsþinginu og gætti hagsmuna þeira'],
      dtype=object), 'answer_start': array([148, 148])}"
nqii_11560,Dulfrævingar,"Dulfrævingar ( eða blómplöntur ) er annar tveggja helstu hópa fræplantna . Þeir skera sig frá öðrum fræplöntum að því leyti að þeir hylja fræ sín aldini . Þeir bera þar að auki blóm sem inniheldur æxlunarfæri þeirra . Inni í blóminu er fræblað og inni í því er eggbúið . Af þessum ástæðum eru þeir nefndir dulfrævingar . Hjá stærsta hópi fræplantna , berfrævingunum , eru eggbúið hvorki hulið fræblaði né fræin hulin aldini .",Hvað eru dulfrævingar ?,"{'text': array(['Dulfrævingar ( eða blómplöntur ) er annar tveggja helstu hópa fræplantna',
       ' annar tveggja helstu hópa fræplantna',
       ' annar tveggja helstu hópa fræplantna . Þeir skera sig frá öðrum fræplöntum að því leyti að þeir hylja fræ sín aldini'],
      dtype=object), 'answer_start': array([ 0, 35, 35])}"
nqii_12076,Möðruvellir (Hörgárdal),"Möðruvellir í Hörgárdal er bær og kirkjustaður í Hörgárdal í Arnarneshreppi við Eyjafjörð . Möðruvellir hafa verið í byggð allt frá landnámsöld og er víða getið í fornsögum , þó helst Sturlungu . Möðruvellir tengjast mjög sögu Íslands og Danmerkur á margvíslegan hátt . Þar var lengi vel eitt helsta höfuðból Íslands og þar var rekinn Möðruvallaskóli . Möðruvallaklaustur var stofnað þar árið 1296 . Þar hafa margir embættismenn á vegum Danakonunga búið og meðal annarra fæddist Hannes Hafstein , fyrsti ráðherra Íslands , þar árið 1861 .",Hvernig tengjast Möðruvellir sögu Danmerkur ?,"{'text': array([' Þar hafa margir embættismenn á vegum Danakonunga búið og meðal annarra fæddist Hannes Hafstein , fyrsti ráðherra Íslands'],
      dtype=object), 'answer_start': array([399])}"
nqii_11438,Sófistar,"Sófistar áttu snaran þátt í að móta evrópska menntun . Þeir mótuðu hugmyndir um almenna æðri menntun . Þeir lögðu áherslu á málfræði , mælskulist og rökleikni . Málfræði þýddi hjá þeim þekking á málinu , uppbyggingu þess og réttri notkun , mælskulist táknaði listina að flytja ræðu á lýtalausan hátt og rökleikni þýddi hæfileikann til að nota rök í málflutningi .",Hvað er mælskulist ?,"{'text': array([' mælskulist táknaði listina að flytja ræðu á lýtalausan hátt'],
      dtype=object), 'answer_start': array([239])}"
nqii_11183,Hong Kong,"Nafn svæðisins , sem upprunalega var stafað með latínuletri He-Ong-Kong árið 1780 vísaði upprunalega í víkina milli Aberdeen-eyjar og syðri strandar Hong Kong-eyjar . Aberdeen var staðurinn þar sem breskir sjómenn mættu fyrst fiskimönnum frá svæðinu . Þótt uppruni latneska heitisins sé óþekktur er talið að nafngiftin vísi í kantónskan framburð á "" hēung góng "" , sem merkir ilmandi höfn eða reykelsishöfn . Ilmurinn gæti verið vísun í reykelsisverksmiðjur Norður-Kowloon en reykelsið var geymt nærri Aberdeen-höfn áður en Viktoríuhöfn tók við hlutverki hennar . Annar landstjóri Hong Kong , John Francis Davis , setti fram aðra kenningu um nafnið ; að það væri dregið af Hoong-keang , rauða strauminum sem vísar í hvernig jarðvegurinn á eyjunni litaði fossa hennar .",Hvað þýðir nafnið Hong Kong ?,"{'text': array(['Nafn svæðisins , sem upprunalega var stafað með latínuletri He-Ong-Kong árið 1780 vísaði upprunalega í víkina'],
      dtype=object), 'answer_start': array([0])}"
nqii_8362,Lofsöngur,"< onlyinclude > Lofsöngur er sálmur eftir Matthías Jochumsson við lag Sveinbjörns Sveinbjörnssonar samið fyrir þjóðhátíð í tilefni af þúsund ára afmæli Íslandsbyggðar árið 1874 . Lag og ljóð voru frumflutt af blönduðum kór við hátíðarguðsþjónustu sem hófst klukkan 10:30 í Dómkirkjunni í Reykjavík sunnudaginn 2. ágúst 1874 sem Lofsöngur í minningu Íslands þúsund ára og var konungur Danmerkur ( og þar með konungur Íslands ) , Kristján IX , viðstaddur þá athöfn .",Af hvaða tilefni var Lofsöngur Matthíasar Jochumssonar fyrst fluttur ?,"{'text': array([' í tilefni af þúsund ára afmæli Íslandsbyggðar',
       ' fyrir þjóðhátíð í tilefni af þúsund ára afmæli Íslandsbyggðar árið 1874',
       ' fyrir þjóðhátíð í tilefni af þúsund ára afmæli Íslandsbyggðar árið 1874'],
      dtype=object), 'answer_start': array([120, 104, 104])}"
nqii_3132,LungA,"LungA eða Listahátíð ungs fólks , Austurlandi er listahátíð fyrir ungt fólk haldin á Seyðisfirði í júlí ár hvert .",Hvenær er LungA ?,"{'text': array([' í júlí'], dtype=object), 'answer_start': array([96])}"
nqii_13320,Pýramídinn mikli í Gísa,"Pýramídinn mikli í Gísa er pýramídi í Gísa í Egyptalandi . Hann er hið elsta af sjö undrum veraldar og jafnframt það eina þeirra sem enn stendur . Þótt oft sé talað um alla þrjá pýramídana á Giza-svæðinu sem hluta af heimsundrunum sjö , er það samt aðeins sá stærsti sem telst til þeirra . Hann er ekki aðeins stærstur þeirra , heldur líka elstur . Hann er talinn vera frá 2580 f.Kr. og á að hafa verið um 20 ár í byggingu . Hann var stærsta mannvirki heims í meira en 40 aldir . Hann er byggður úr kalksteini með fínpússuðu yfirborðslagi , sem er þó að langmestu leyti horfið í dag .",Hvað eru margir pýramídar í Egyptalandi ?,"{'text': array([' þrjá'], dtype=object), 'answer_start': array([172])}"
nqii_15962,HAM,"HAM hóf æfingar laust fyrir áramót 1987 . Hljómsveitin spilaði sína fyrstu tónleika á skemmtistaðnum Tunglinu 10. mars 1988 . Fyrsta hljómplata sveitarinnar var stuttskífan "" Hold "" . Þá samanstóð hljómsveitin af Sigurjóni Kjartanssyni , Óttarri Proppé , Birni S. Blöndal og fyrsta trommaranum , Ævari Ísberg . Platan fékk nær enga spilun í útvarpi og var mjög umdeild . Gert var myndband við lagið „ Trúboðssleikjari “ en Sjónvarpið brenndi eina eintakið sem til var af því þar sem myndefnið þótti ekki við hæfi .",Hverjir eru meðlimir HAM ?,"{'text': array([' Þá samanstóð hljómsveitin af Sigurjóni Kjartanssyni , Óttarri Proppé , Birni S. Blöndal og fyrsta trommaranum , Ævari Ísberg',
       ' Þá samanstóð hljómsveitin af Sigurjóni Kjartanssyni , Óttarri Proppé , Birni S. Blöndal og fyrsta trommaranum , Ævari Ísberg'],
      dtype=object), 'answer_start': array([183, 183])}"
nqii_5649,Rómversk-kaþólska kirkjan,"Samkvæmt "" Annuario Pontificio "" ( Árbók kirkjunnar ) voru samtals um 1,098,366,000 safnaðarfélagar í kirkjunni í öllum heiminum í lok 2004 en það er um sjötti hluti íbúa jarðar . Á Íslandi voru skráðir 14.657 safnaðarfélagar árið 2020 . Rómversk-kaþólska kirkjan telur sig vera beinan erfingja fyrstu kristnu söfnuða postulanna tólf og sérlega heilags Péturs . Hún samanstendur af 23 kirkjudeildum , hver með sína helgisiði . Sú stærsta er hin latneska eða vestræna kirkja , og þá eru 22 austrænar kirkjudeildir sem allar líta á páfann í Róm sem leiðtoga og yfirmann sem og læriföður sinn í siðfræðilegum og andlegum efnum . Páfinn er einnig þjóðhöfðingi minnsta ríkis í heimi , Vatikansins .",Hvaða hlutverki þjónar páfinn ?,"{'text': array([' leiðtoga og yfirmann sem og læriföður sinn í siðfræðilegum og andlegum efnum'],
      dtype=object), 'answer_start': array([546])}"
nqii_8852,Elísabet 2. Bretadrottning,"Þar að auki er hún höfuð breska samveldisins , æðsti yfirmaður ensku biskupakirkjunnar og breska heraflans og lávarður Manar . Þessum embættum hefur hún gegnt síðan faðir hennar Georg 6. lést árið 1952 . Hún er þjóðhöfðingi um 125 milljón manna .",Hvenær varð Elísabet drottning ?,"{'text': array([' árið 1952'], dtype=object), 'answer_start': array([191])}"
nqii_4072,Papey,"Papey er stór eyja við austurströnd Íslands og tilheyrir Djúpavogshreppi . Eyjan er 2,0 ferkílómetrar að stærð , og er hæsti punktur hennar í um 58 metrar yfir sjávarmáli .",Hvar er Papey ?,"{'text': array([' við austurströnd Íslands', ' við austurströnd Íslands'],
      dtype=object), 'answer_start': array([18, 18])}"
nqii_16487,Söguljóð,"Söguljóð ( kviða , hetjuljóð , óðsaga eða epísk kvæði ) er oftar en ekki langt kvæði ( "" epos "" ) , sem er sagt af sögumanni , venjulega um hetjudáðir og atburði sem eru mikilvægir póstar einhvers menningarbrots eða þjóðar . Algengt er að söguljóð eigi sér rætur í munnlegri hefð og Albert Lord og Milman Parry hafa sett fram rök að því að klassísk söguljóð Forngrikkja hafi í grunninn verið til í munnlegri geymd og verið munnlega samin . Hvað sem um það er þá hafa söguljóð verið skrifuð niður síðan Hómerskviður voru ritaðar og verk Virgils , Dante Alighieri og John Miltons hefðu líklega ekki lifað hefðu þau ekki verið bókfest .",Hvað er söguljóð ?,"{'text': array([' kvæði ( "" epos "" ) , sem er sagt af sögumanni , venjulega um hetjudáðir og atburði sem eru mikilvægir póstar einhvers menningarbrots eða þjóðar .',
       ' oftar en ekki langt kvæði ( "" epos "" ) , sem er sagt af sögumanni'],
      dtype=object), 'answer_start': array([78, 58])}"
nqii_12866,Woodstock,"32 tónlistarmenn komu fram á hátíðinni og spiluðu þeir á sviði undir berum himni þar sem skiptust á skin og skúrir . Þar á meðal voru þekktir tónlistarmenn , til dæmis Janis Joplin , Jimi Hendrix , hljómsveitin the Who , Canned Heat og San Francisco hljómsveitin Jefferson Airplane .",Hvaða hljómsveitir spiluðu á Woodstock ?,"{'text': array([' til dæmis Janis Joplin , Jimi Hendrix , hljómsveitin the Who , Canned Heat og San Francisco hljómsveitin Jefferson Airplane'],
      dtype=object), 'answer_start': array([157])}"
nqii_8389,Pakistan,Pakistan er sambandslýðveldi myndað úr fjórum fylkjum og fjórum alríkishéruðum . Landið er menningarlega fjölbreytt og þar eru töluð yfir sextíu tungumál . Þrír fjórðu íbúa tala úrdú sem er eitt af tveimur opinberum tungumálum landsins . Pakistan er eina múslimaríki heims sem býr yfir kjarnorkuvopnum . Landið er aðili að Breska samveldinu .,Hvaða tungumál er talað í Pakistan ?,"{'text': array([' Þrír fjórðu íbúa tala úrdú sem er eitt af tveimur opinberum tungumálum landsins .',
       ' þar eru töluð yfir sextíu tungumál',
       ' Þrír fjórðu íbúa tala úrdú'], dtype=object), 'answer_start': array([155, 118, 155])}"
nqii_16231,Tölva,"Þegar fyrsta tölvan kom til landsins voru ýmis nöfn höfð um hana , eins og "" rafreiknir "" , "" rafheili "" , "" rafeindareiknir "" og einnig enska tökuorðið "" computer "" . Vilmundur Jónsson , landlæknir , hafði á sínum tíma stungið upp á orðinu "" hjarni "" ( = heili ) . Það var hins vegar ekki fyrr en árið 1965 að Sigurður Nordal prófessor við HÍ stakk upp á nafninu tölva . Orðið er samrunaorð frá orðunum ‚ tala ‘ og ‚ völva ‘ og fallbeygist orðið eins og ‚ völva ‘ , ‚ slöngva ‘ eða sérnafnið ‚ Röskva ‘ : Fyrsta tölvan sem kom til íslands hafði verið kölluð "" Rafeindaheilinn "" meðal margra innan Háskóla Íslands . Þorsteinn Gylfason hefur sagt frá því að hann var viðstaddur þegar Sigurður fékk hugmyndina , og að orðið hafi verið orðið alkunnugt á nokkrum vikum og öll hin nýyrðin dáið drottni sínum .",Úr hvaða örðum er orðið tölva samsett ?,"{'text': array([' Orðið er samrunaorð frá orðunum ‚ tala ‘ og ‚ völva ‘'],
      dtype=object), 'answer_start': array([371])}"
nqii_17745,Fyrri heimsstyrjöldin,"Þýskaland hafði samið við Austurríki-Ungverjaland árið 1883 , um samstöðu ef annað ríkið lenti í stríði . Þegar Franz Jósef , keisari Austurríkis-Ungverjalands , bað Þýskaland um stuðning í stríðinu við Serbíu , hét Vilhjálmur 2 . Þýskalandskeisari , þeim skilyrðislausum stuðningi , án þess að spyrjast fyrir um markmið eða áætlanir þeirra . Að stríðinu loknu litu bandamenn svo á að þessi skilyrðislausi stuðningur hafi haft úrslitaþýðingu varðandi allsherjarstríð og kenndu því Þjóðverjum um upphaf stríðsins .",Hver réði Þýskalandi þegar fyrri heimsstyrjöldin átti sér stað ?,"{'text': array([' Vilhjálmur 2 . Þýskalandskeisari'], dtype=object), 'answer_start': array([215])}"
