question,id,choices,answerKey
"Eftir skógareld, hvaða tegund lífvera mun hefja afleitt framvinduferlið?",Mercury_7245753,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['lítil runni', 'fullvaxin eikartré', 'sígræn tré',
       'villtar blómplöntur'], dtype=object)}",D
Hitastigið þar sem vatn frýs gerir vatninu kleift að vera til á jörðinni í hvaða tveimur formum?,Mercury_7056438,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['ferskvatn í ám og saltvatn í höfum',
       'fljótandi höf og fastir jöklar',
       'vatnsgufa í andrúmsloftinu og dropar í skýjum',
       'vatn í jarðvegi og vatn í plöntum'], dtype=object)}",B
Fjall með bráðnandi jökli er með læk með fossi. Fossinn fyllir stöðuvatn við rætur fjallsins. Hvar er vatnið kaldast?,Mercury_SC_416518,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['jökullinn', 'lækurinn', 'fossinn', 'stöðuvatnið'], dtype=object)}",A
Ísmolavetur sem settur er í sólarljós bráðnar hratt. Hvað útskýrir þetta fyrirbæri BEST?,VASoL_2008_3_17,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['Sólin er langt í burtu.', 'Sólin framleiðir hita.',
       'Ísmolaviðurinn er fastur.', 'Ísmolaviðurinn lítur tær út.'],
      dtype=object)}",B
Skoðaðu hverja efnajöfnu til að ákvarða hver jafnan er rétt jöfnuð.,Mercury_415092,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['Mg(NO_{3})_{2} + K_{2}CO_{3} -> MgCO_{3} + KNO_{3}',
       'Mg(NO_{3})_{2} + K_{2}CO_{3} -> MgCO_{3} + 2KNO_{3}',
       '2Mg(NO_{3})_{2} + K_{2}CO_{3} -> 2MgCO_{3} + KNO_{3}',
       'Mg(NO_{3})_{2} + 2K_{2}CO_{3} -> MgCO_{3} + 2KNO_{3}'],
      dtype=object)}",B
"Bensín er auglýst sem ""losar færri mengunarefni"" þegar það er notað í bílum. Til að þessi fullyrðing sé rétt, hvað hefur líklegast gerst við bensínið?",Mercury_7027178,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['Sýrustig þess hefur verið aukið.',
       'Meira súrefni hefur verið leyst upp í því.',
       'Óhreinindi hafa verið fjarlægð.',
       'Sameindir þess hafa hærri efnaorku.'], dtype=object)}",C
"Ungviði sjávarskjaldbaka eru yfirleitt dökk að lit. Stöku sinnum kemur sjávarskjaldbaka úr eggi sem er næstum hvít að lit. Þegar þessi ljóslitaða sjávarskjaldbaka skríður frá hreiðrinu á ströndinni til hafsins, gæti hún verið í hættu á að fá sólbruna. Ljósir litir skjaldbökurnar myndu líklegast",Mercury_7106908,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['hjálpa skjaldbökum að hafa betri möguleika á æxlun.',
       'valda því að skel sjávarskjaldbakanna verður sterkari.',
       'draga úr líkum á að skjaldbökur lifi af til að æxlast.',
       'hjálpa við þróun nýrrar tegundar sjávarskjaldbaka.'], dtype=object)}",C
"Í vatnshringnum, þegar vatn færist frá höfunum til skýjanna, hvaða breytingu verður vatnið fyrir?",Mercury_7218733,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['Það breytist frá föstu efni í gas.',
       'Það breytist frá saltvatni í ferskvatn.',
       'Kristalstærð þess minnkar.', 'Efnaorka þess eykst.'], dtype=object)}",B
Daníel er að velja hvaða pappír hann vill nota til að búa til kveðjukort. Hann vill velja pappír sem rifnar ekki auðveldlega. Hvaða eiginleiki pappírsins er mikilvægastur fyrir Daníel að hafa í huga?,MCAS_2010_5_11983,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['litur', 'stærð', 'mýkt', 'þykkt'], dtype=object)}",D
Á meðan nemandi var að tína villt blóm fór hann að hnerra og fékk kláða og vot augu. Hvaða líkamskerfi veldur þessari svörun?,Mercury_7004043,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['ónæmis', 'tauga', 'vöðva', 'blóðrásar'], dtype=object)}",A
Hvaða dýr er að undirbúa sig fyrir árstíðabundnar breytingar í umhverfinu?,NYSEDREGENTS_2005_4_14,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['leðurblaka að fljúga á nóttu', 'hjörtur að drekka vatn',
       'ugla að éta mús', 'íkorna að safna hnetum'], dtype=object)}",D
Hvaða eiginleiki DNA veldur frumusérhæfingu í þroskandi fósturvísum?,Mercury_7227938,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['hvaða gen eru til staðar',
       'hversu margar afritanir af hverju geni eru til staðar',
       'hvaða gen eru virk', 'hvaða prótein er framleitt af geni'],
      dtype=object)}",C
Hvaða einkenni úlfs er mest háð umhverfi hans?,MCAS_2016_5_15,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['stærð fótanna', 'litur augna', 'lögun eyrna', 'ástand feldsins'],
      dtype=object)}",D
Hvað af eftirfarandi lýsir best steinefni?,MCAS_2011_5_17,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['aðalnæringarefnið í öllum mat',
       'tegund korns sem finnst í morgunkorni',
       'náttúrulegt efni sem myndar bergtegundir',
       'niðurbrotin plöntuefni sem finnast í jarðvegi'], dtype=object)}",C
Sónar búnaður sendir bylgjur í djúpt vatn og mælir,Mercury_7008995,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['tímatöf endurkastsbylgjanna.', 'ljósbrot sendu bylgjanna.',
       'stefnu sendu bylgjanna.', 'truflun sendu og endurkastsbylgjanna.'],
      dtype=object)}",A
Samskipti mannsins við umhverfið hafa leitt til aukinnar súrs regns. Hvaða þýði hafa mennirnir haft mest neikvæð áhrif á með því að stuðla að myndun súrs regns?,Mercury_7193113,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['froskar í tjarnarvistkerfi', 'fiskar í sjávarvistkerfi',
       'birnir í freðmýrarvistkerfi', 'ljón í graslendavistkerfi'],
      dtype=object)}",A
Hvað af eftirfarandi er satt þegar viðarbútur brennur að fullu í eldi?,Mercury_7084000,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['Breytingin á viðnum er afturkræf.', 'Orkan í viðnum eyðist.',
       'Breytingin á viðnum er eðlisfræðileg.',
       'Orkan í viðnum umbreytist.'], dtype=object)}",D
Hvað af eftirfarandi lýsir vatni á föstu formi?,VASoL_2010_3_21,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['Gufa sem rís til himins', 'Haglél í stormi',
       'Öldur sem brotna á ströndinni', 'Rigning sem fellur úr skýjunum'],
      dtype=object)}",B
Tegund fugls hefur ekki sést síðan um 1900 og er talin útdauð. Hvaða vísbendingar myndu best afsanna þá fullyrðingu að fuglinn sé útdauður?,Mercury_7127173,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['Fuglaskoðari teiknar mynd af fuglinum.',
       'Vísindamaður finnur steingerðar leifar af fuglinum.',
       'Rannsakandi tekur ljósmynd af fuglinum.',
       'Landvörður finnur heppilegt búsvæði fyrir fuglinn.'], dtype=object)}",C
"Nektar er sætur vökvi sem sumar blómplöntur framleiða. Kolibri drekkur nektar úr blómi. Þegar kolibri drekkur nektar, festist frjókorn úr blóminu við gogg kolibríisins. Myndin sýnir kolibri drekka nektar úr blómi. Hvaða fullyrðing útskýrir hlutverk kolibríis í lífsferli blómplöntu?",OHAT_2010_5_20,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['Kolibri flytur plöntunni fæðu.',
       'Kolibri hjálpar plöntunni að fjölga sér.',
       'Kolibri verndar plöntuna fyrir rándýrum.',
       'Kolibri fær blómin til að framleiða nektar.'], dtype=object)}",B
Breyting á þéttleika lofts getur leitt til golu. Hvaða skýringarmynd sýnir best röð orkuleiðslu sem byrjar með sólinni og leiðir til golu?,AKDE&ED_2012_8_42,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['geislun → varmaleiðni → gola',
       'geislun → varmaleiðni → varmaburður → gola',
       'varmaburður → geislun → gola',
       'varmaburður → varmaleiðni → geislun → gola'], dtype=object)}",B
Ein stjörnufræðileg eining er meðalfjarlægðin á milli jarðarinnar og sólarinnar. Þessi eining er oftast notuð til að lýsa fjarlægðinni á milli hvaða tveggja hluta?,Mercury_7111248,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['frá vetrarbraut til vetrarbrautar', 'frá Satúrnusi til Merkúrs',
       'frá sólinni til Proxima Centauri',
       'frá Stóra Bjarnarbirni til Litla Bjarnarbjarnar'], dtype=object)}",B
Sauðfjáráskorun í þróun. Tegund sauðfjár lifir á skoska eyjunni Hirta. Hirta hefur nóg af grasi fyrir sauðfé að éta og engir náttúrulegir ránfuglar sauðfjár lifa á eyjunni. Sumt sauðfé hefur dökka ull og sumt ljósa ull. Sauðfé með dökka ull er yfirleitt mun stærra og sterkara en sauðfé með ljósa ull. Hins vegar hafa rannsakendur komist að því að á síðustu 20 árum hefur sauðfé með ljósa ull fjölgað. Yfirleitt hjálpa styrkur og stærð dýrum að lifa af og æxlast. Á Hirta er sauðfé með ljósa ull fleiri en sauðfé með dökka ull vegna þess að sauðfé með ljósa ull,MSA_2013_8_5,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['framleiðir meiri ull', 'hefur takmarkaðra mataræði',
       'eignast færri afkvæmi á hverju ári',
       'hefur meiri möguleika á að lifa af og æxlast'], dtype=object)}",D
Í ertuplantan er hæð ríkjandi yfir lágvöxtur. Hvaða stærð ertuplantar myndu verða til þegar tvær lágvaxnar plöntur eru krossaðar?,MCAS_1998_8_25,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['aðeins lágvaxnar plöntur', 'lágvaxnar og hávaxnar plöntur',
       'aðeins hávaxnar plöntur', 'meðalstórar plöntur'], dtype=object)}",A
Hvaða matur er ávöxtur?,NYSEDREGENTS_2004_4_12,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['kartafla', 'laukur', 'gulrót', 'grasker'], dtype=object)}",D
Hvað af eftirfarandi lýsir best samspili milli jarðar og sólarorku sem virkar til að hlýja upp plánetuna?,Mercury_7236600,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['upptaka sólarorku með landmassa á meginlöndum',
       'nýting sólarorku í ljóstillífunarferlinu',
       'endurkast sólarorku frá snjóhvítum póllendum',
       'umbreyting sólarorku í norðurljós'], dtype=object)}",A
Þegar sameindir vatns byrja að hægja á sér fara þær inn í fasa þar sem þær geta ekki lengur auðveldlega færst fram hjá hver annarri. Vatnið er að fara í gegnum fasabreytingu og mun,AKDE&ED_2008_8_11,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['vera áfram blanda.', 'vera áfram efnasamband.', 'verða frumefni.',
       'verða efnasamband.'], dtype=object)}",B
Vöðvafrumur hafa hæfileika til að geyma og losa mikið magn orku. Hvaða líkamsstarfsemi nýtist best við losun þessarar orku?,Mercury_7171990,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['loftskipti', 'hreyfing líkamshluta', 'upptaka næringarefna',
       'sending taugaboða'], dtype=object)}",B
"Áður en nemendur fá að nota hamra til að rannsaka hvernig ýmsir steinar brotna, hvaða spurningu myndi kennarinn líklegast spyrja?",Mercury_7001155,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['Eru allir með hlífðargleraugu?',
       'Hver ætlar að sækja steinana í hilluna?',
       'Hver er tilgangur þessarar rannsóknar?',
       'Er einhver sem hefur boðist til að teikna myndir af brotunum?'],
      dtype=object)}",A
Breytingar ættu að vera gerðar á vísindakenningum þegar,Mercury_7083580,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['almenningstuðningur við kenninguna minnkar.',
       'kenningin er meira en 100 ára gömul.',
       'ný tækni veitir uppfærðar upplýsingar.',
       'hægt er að hagnast fjárhagslega með því að bæta við gögnum.'],
      dtype=object)}",C
"Þegar fólk æfir líkamsrækt, finnur það oft fyrir þorsta og byrjar að svitna. Það er mikilvægt fyrir fólk að finna fyrir þorsta við líkamsrækt vegna þess að það lætur það átta sig á að það ætti að",TAKS_2009_8_45,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['taka sér hlé', 'drekka vökva', 'hægja á önduninni',
       'stoppa til að borða eitthvað'], dtype=object)}",B
Jón var að nota mp3 spilarann sinn þegar hann hætti skyndilega að virka. Hvað er það fyrsta sem Jón ætti að gera til að reyna að laga vandamálið?,Mercury_SC_405764,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['hlaða rafhlöðuna', 'taka spilarann í sundur',
       'skipta spilaranum út fyrir nýjan', 'skipta yfir í annað lag'],
      dtype=object)}",A
"Stór, fastur hnöttur í sólkerfinu er flokkaður sem tungl. Hvaða einkenni hnattarins gefur honum þessa flokkun?",Mercury_7210613,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['Hann snýst um eigin ás.', 'Hann skortir fljótandi vatn.',
       'Hann gengur í sporbaug um nálæga plánetu.',
       'Hann endurkastar ljósi frá stjörnu.'], dtype=object)}",C
Hvaða einkenni fugls hjálpar mest líklega við að ná í fæðu sem finnst á litlum stöðum?,Mercury_SC_406721,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['sundfit', 'stór líkami', 'mjúkir fjaðrir', 'mjór nef'],
      dtype=object)}",D
Bikarglasi sem inniheldur 50 millilítra af ís er sett á gluggakistuna. Eftir nokkra klukkutíma bráðnar ísinn. Hvaða eiginleiki íssins breyttist ekki þegar hann bráðnaði?,MSA_2015_5_46,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['massinn', 'rúmmálið', 'hitastigið', 'eðlisástand'], dtype=object)}",A
Nemandi rannsakaði hlutfall orku sem fengið er úr nokkrum fæðugjöfum fyrir hóp arna. Hvaða snið er besta leiðin til að birta þessi gögn?,Mercury_7027020,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['tafla', 'skífurit', 'súlurit', 'línurit'], dtype=object)}",B
Samsetning jarðvegs hefur áhrif á getu jarðvegsins til að halda og leiða vatn og loft. Hvaða jarðvegsgerð væri best til að rækta uppskeru garð?,Mercury_7057733,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['Sandkenndur jarðvegur vegna þess að hann inniheldur mikið af kísli.',
       'Malarkenndur jarðvegur vegna þess að hann inniheldur sand og leir.',
       'Lítillega grýttur jarðvegur vegna þess að hann veitir nauðsynleg steinefni.',
       'Leirkenndur jarðvegur vegna þess að hann er þungur og heldur vatni.'],
      dtype=object)}",B
Frumueind getur gert allt það sama og fruma í fjölfruma lífveru nema,Mercury_SC_416456,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['sérhæfa sig.', 'æxlast.', 'nota orku.', 'búa til prótein.'],
      dtype=object)}",A
Af hverju er hægt að nota gufu til að elda mat?,Mercury_SC_415723,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['Gufa vinnur vinnu á hlutum.', 'Gufa er form af vatni.',
       'Gufa getur flutt hita til kaldari hluta.',
       'Gufa getur farið í gegnum lítil rými.'], dtype=object)}",C
Hvaða starfsemi er beint stjórnað af taugafrumum?,Mercury_7239418,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['framleiðsla kynfrumna', 'sláttur hjartans',
       'hraði og lögun beinvaxtar', 'sykurstig í blóði'], dtype=object)}",B
"Mýs, kanínur, rauðrefir og íkorna búa öll í runnavistkerfinu. Hvert dýrið ætti erfiðast með að lifa af ef stofn hinna þriggja dýranna héldi áfram að minnka?",Mercury_7016730,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['mús', 'íkorni', 'rauðrefur', 'kanína'], dtype=object)}",C
Hvaða mæling lýsir hreyfingu gúmmíboltar?,Mercury_406888,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['5 cm', '10 m/s', '15 njúton', '50 grömm'], dtype=object)}",B
Efni geta sameinast efnafræðilega eða eðlisfræðilega. Hvaða efni mynda nýtt efni þegar þau sameinast efnafræðilega?,MDSA_2010_5_2,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['salt og pipar', 'vatn og sykur', 'járnnaglar og peningar',
       'matarsódi og edik'], dtype=object)}",D
Fólk kann að fjarlægja fallin tré úr skógum til að draga úr eldhættu. Nú er talið að fjarlæging trjánna hafi áhrif á heilbrigði skógarins. Hvaða áhrif myndi fjarlæging fallinna trjáa úr skógum líklegast hafa á heilbrigði skóga?,Mercury_7145495,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['aukin hætta á skógareldum',
       'auknar fæðulindir fyrir skógarsveppi',
       'minnkuð frjósemi jarðvegs með því að koma í veg fyrir næringarefnaendurvinnslu',
       'minnkuð gróður skóga með aukinni sólarljósi gegnum skóginn'],
      dtype=object)}",C
Þegar flugvél stígur til lofts tekur Jón flugmaður eftir því að ískristallar myndast á framrúðunni. Þetta gerist vegna þess að,MEAP_2005_5_38,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['skipti eru algengari í hærri hæðum.',
       'núningur við andrúmsloftið veldur ísmyndun.',
       'vatn gufar hraðar upp í hærri hæðum og myndar ískristalla.',
       'raki utan á flugvélinni frýs vegna kaldara lofts í hærri hæðum.'],
      dtype=object)}",D
Guðrún er að rækta grænmetisgróðurreit. Á hvaða árstíma fá plönturnar í gróðurreitnum hennar Guðrúnar mesta orku frá sólinni til að vaxa?,Mercury_SC_408664,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['haust', 'vor', 'sumar', 'vetur'], dtype=object)}",C
Hvað myndar bæði dali og gljúfur?,Mercury_SC_415410,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['jöklar', 'ár', 'vindur', 'sjávarföll'], dtype=object)}",B
Hvað af eftirfarandi er talið vera óendurnýjanleg auðlind?,ACTAAP_2007_7_4,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['olía', 'jarðvegur', 'matur', 'vatn'], dtype=object)}",A
Jörðin og tunglið hafa alla þessa sameiginlegu eiginleika nema,Mercury_SC_401765,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['kjarna.', 'skorpu.', 'vatn.', 'möttul.'], dtype=object)}",C
Kennari setur kaffi í bollahaldara í bíl. Þegar bíllinn stoppar skyndilega skvettist hluti kaffisins úr bollanum. Hvaða staðhæfing útskýrir best af hverju kaffið skvettist?,ACTAAP_2014_7_11,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['Kaffið heldur áfram að hreyfast því hemlunarkrafturinn verkar aðeins á bílinn.',
       'Kaffið heldur áfram að hreyfast því kraftur frá bollahöldurum togar í kaffið.',
       'Hemlunarkrafturinn á bílinn veldur jafn miklum og gagnstæðum viðbrögðum frá kaffinu.',
       'Hemlunarkrafturinn veldur því að hreyfing bílsins hægist á og hreyfing kaffisins eykst.'],
      dtype=object)}",A
Þegar rignir munu sum dýr ___.,VASoL_2010_3_18,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['fara í dvala fyrir árstíðina', 'fara til hlýrra loftslaga',
       'breyta líkamsþekju sinni', 'færa sig til að leita skjóls'],
      dtype=object)}",D
Hvaða landslagsform er afleiðing af uppbyggingarafli jökuls?,Mercury_SC_401653,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['dalir sem hafa verið ristir af hreyfanlegum jökli',
       'hrúgur af grjóti sem bráðnandi jökull skilur eftir',
       'rákir sem myndast á granítyfirborði af völdum jökuls',
       'klapparhæðir sem hafa orðið hrjúfar vegna skriðs jökuls'],
      dtype=object)}",B
Margar stjörnur sjást á himni að kvöldi. Hver fullyrðing útskýrir best af hverju sólin virðist bjartari en stjörnurnar sem sjást á næturhimninum?,AKDE&ED_2012_4_22,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['Sólin er stærri en stjörnurnar sem sjást á næturhimninum.',
       'Sólin er minni en stjörnurnar sem sjást á næturhimninum.',
       'Sólin er nær jörðinni en stjörnurnar sem sjást á næturhimninum.',
       'Sólin er fjær jörðinni en stjörnurnar sem sjást á næturhimninum.'],
      dtype=object)}",C
"Nemandi notar lýsingar til að flokka lífverur. Ein lífvera er sögð hafa skynfæri til að greina hita, verpa eggjum til æxlunar, nota eitur til varnar og hafa hæfni til að breyta líkamshita með umhverfi sínu. Hvernig myndi nemandinn flokka þessa lífveru?",Mercury_7058118,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['baktería', 'spendýr', 'skriðdýr', 'fugl'], dtype=object)}",C
Nemandi ýtir rauðum leikfangabíl á viðargólfi. Síðan ýtir nemandinn sama rauða leikfangabílnum á steingólfi. Hvaða spurningu er nemandinn líklegast að rannsaka?,AKDE&ED_2012_4_33,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['Hversu hratt rúllar leikfangabíll venjulega?',
       'Hver er besta leiðin til að láta leikfangabíl rúlla?',
       'Hvaða yfirborð leyfir leikfangabíl að rúlla lengra?',
       'Hefur litur áhrif á vegalengdina sem leikfangabíll rúllar?'],
      dtype=object)}",C
Hvað af eftirfarandi er UPPSPRETTA ljóss?,MCAS_1999_4_12,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['Jörðin', 'reikistjarna', 'stjarna', 'tunglið'], dtype=object)}",C
Nemendur skráðu upphafs- og lokahlutfall mismunandi lita jarðvegs sem útsett var fyrir beinu sólarljósi í þrjár klukkustundir. Nemendurnir vilja bera saman heildarhlutfall hitastigsbreytinga fyrir hvern jarðvegslit. Hvaða snið væri heppilegast til að birta niðurstöður þessarar rannsóknar?,Mercury_7214673,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['súlurit', 'línurit', 'skífurit', 'töflur'], dtype=object)}",A
Hvaða jarðvegsþáttur hefur minnsta getu til að halda vatni?,Mercury_7071943,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['silt', 'leir', 'sandur', 'húmus'], dtype=object)}",C
Hvaða eftirfarandi eiginleiki er sameiginlegur frumefnum kolefnisfjölskyldunnar?,Mercury_412642,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['sætistala 6', 'atómmassi 12', 'sömu rafeindauppbygging',
       'fjöldi valenselektrona'], dtype=object)}",D
Hvað af eftirfarandi er að finna í öllum lífverum?,Mercury_7268188,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['fruma', 'vefur', 'líffæri', 'líffærakerfi'], dtype=object)}",A
Hver er niðurstaða frumöndunnar?,NYSEDREGENTS_2006_8_39,"{'label': array(['1', '2', '3', '4'], dtype=object), 'text': array(['Orka losnar fyrir frumuferlana.',
       'Súrefni er losað fyrir ljóstillífun.',
       'Frumur gangast undir niðurbrot.',
       'Næringarefnum er skilað út til að koma í veg fyrir uppsöfnun líkamsfitu.'],
      dtype=object)}",1
"Hvað eiga ís, steinn og álstykki sameiginlegt?",Mercury_SC_402047,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['Þau eru öll föst efni.', 'Þau eru öll vökvar.',
       'Þau eru öll steinefni.', 'Þau eru öll frumefni.'], dtype=object)}",A
Hvað af eftirfarandi veldur efnabreytingu?,Mercury_SC_LBS10656,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['Magnús finnur lykt af blómi.', 'Guðrún kveikir á kerti.',
       'Einar litar blað blátt.', 'Helga finnur fyrir grófu efni.'],
      dtype=object)}",B
