id,answer,instruction,option_a,option_b,option_c,option_d,option_e
ARC-Challenge/train/Mercury_7206535,C,Í fjölfrumulífverum gegna mismunandi byggingar mismunandi hlutverki. Hvaða hlutverki gegnir laufplanta?,að taka til sín mat,að framleiða blóm,gleypir ljós,fræsuðugerð,
ARC-Challenge/train/Mercury_SC_401591,D,Sólarsellur taka til sín orku frá sólinni. Til þess að nýta þessa orku til að knýja heimilistæki þurfa sólarsellur að umbreyta upptekinni orku í,hiti.,ljós.,geislun.,rafmagn.,
ARC-Challenge/train/Mercury_183750,A,Í hvaða sviðsmynd hér á eftir er líklegast að náttúruval eigi sér stað?,Loftslagsbreytingar hafa smám saman aukist í aldaraðir,stórfelld eyðilegging búsvæða,hröð og mikil loftslagsbreytingar,tafarlaust tap á frumfæðugjöfum,
ARC-Challenge/train/Mercury_SC_400300,B,Hvort þessara tækja væri best að nota þegar skordýr eru skoðuð á vettvangi?,áttaviti,handlinsa,smásjá,hitamælir,
ARC-Challenge/train/Mercury_SC_LBS10271,B,Hvað er það sem einkennir plöntur og dýr?,Plöntur þurfa ekki á steinefnum að halda og dýrin líka.,Plöntur framleiða sína eigin fæðu og dýr ekki.,Plöntur framleiða ekki súrefni og það gera dýrin líka.,Plöntur þurfa sólarljós og dýr ekki.,
ARC-Challenge/train/Mercury_SC_400119,A,Hvaða breyting verður á vírum rafrásar sem virkar eðlilega?,Vírinn hlýnar,Vírinn mun missa hluta af massa sínum.,Vírinn myndar rafsvið.,Vírinn myndar nýja kristalbyggingu.,
ARC-Challenge/train/Mercury_7056613,D,"Þegar bílvél er gangsett er bensíni blandað saman við loft og brennt. Varmi, hljóð og efnaafurðir losna. Hvort þessara þátta helst stöðugt í gangi vélarinnar?",massa efnasambanda sem finnast í vélinni,hversu mikill hiti er í vélinni,heildarmassi bensíns,heildarorkumagnið,
ARC-Challenge/train/Mercury_7181668,C,Daffodils eru plöntur sem geta bæði framkvæmt kynlausa og kynlausa æxlun. Hvernig nýtist daffodil stofninn betur við að æxlast kynlaust en kynlaus?,Hún getur fjölgað sér hraðar.,Það getur aðlagast umhverfi sínu hraðar.,Það getur aukið fjölbreytni arfgengra eiginleika.,Það getur eytt óheppilegum eiginleikum úr genamengi.,
ARC-Challenge/train/AKDE&ED_2012_8_14,A,Einstaklingur fellir lifandi eikartré. Einstaklingurinn brennir viðinn úr eikartrénu til að sjóða vatn. Hvaða röð raðar rétt þeim orkuumbreytingum sem áttu sér stað frá lifandi trénu til sjóðunar vatns?,ljósorka - efnaorka - varmaorka,varmaorka - efnaorka - ljósorka,efnaorka - vélræn orka - rafmagnsorka,rafmagns-vélræn-efnaorka,
ARC-Challenge/train/Mercury_SC_LBS10907,B,Á hvaða tímaskeiði tunglsins gæti sólmyrkvi átt sér stað?,full,ný,ársfjórðung,hálfmáni,
ARC-Challenge/train/MEA_2014_8_6,B,Bolta er varpað úr mismunandi hæð. Þegar bolta er varpað úr hæstu hæð þá er mesti hávaðinn eða titringurinn þegar hann lendir á jörðinni. Hver er besta skýringin á því að boltinn er með mesta hávaðann?,Loftið þrýstir meira niður og boltinn fer hraðar.,Þyngdaraflið togar í lengri tíma og boltinn fer hraðar.,Boltinn þyngist og fer hraðar.,Boltinn er að hitna og fer hraðar.,
ARC-Challenge/train/LEAP__5_10318,D,Miguel var að gera tilraun. Hann skrifaði eftirfarandi setningar í stílabókina sína: Byrjunarhitastig vatnsins var 10 gráður á Celsíus. Hlutur sem var 5 grömm að þyngd var settur í vatnið. Hitastig vatnsins hækkaði í 15 gráður. Hluturinn þarf að hafa verið heitari en 10 gráður. Í hvaða setningu ályktaði Miguel?,setning 1,2. setning,3. setning,setning 4,
ARC-Challenge/train/MCAS_2008_8_5608,C,"Ef ný lífvera fyndist, hvaða af eftirfarandi yrði þá líklegast notað til að flokka hana í viðeigandi ríki?",litur lífverunnar,náttúrulegt búsvæði lífverunnar,uppbyggingu líffærakerfis lífverunnar,staðsetningin þar sem lífveran fannst,
ARC-Challenge/train/CSZ20740,B,Hversu langan tíma tekur reiðhjól að fara 100 m vegalengd á meðalhraðanum 2 m/s?,0.0,s B 50 s,100 sek,200 s,
ARC-Challenge/train/Mercury_7185448,B,Kveikja eldspýtu og baka köku eru tvær aðgerðir sem fela í sér efnabreytingar. Hvers vegna eru þessar aðgerðir taldar efnabreytingar?,Þær breyta ástandi efnisins.,Þau búa til ný efni.,Þeir breyta um magn.,Þau skapa orku.,
ARC-Challenge/train/Mercury_7268293,D,Hvernig rata fræsprotar sem grafnir eru í algjöru myrkri í jarðveginum upp á yfirborð jarðvegsins?,Þeir vaxa í átt að ljósi.,Þau vaxa í átt að yfirborðshita.,Þau vaxa á móti berggrunninum.,Þau vaxa í andstöðu við stefnu þyngdaraflsins.,
ARC-Challenge/train/Mercury_7166093,B,Plöntur geta komið í veg fyrir rof eða stuðlað að rofi. Hvert er dæmið um hvernig plöntur gætu stuðlað að rofi?,Plöntur hægja á afrennsli vatns og jarðvegs.,Rótar plöntunnar vaxa í bergi og brjóta það.,Rætur plantna halda jarðveginum á sínum stað gegn vindi.,Plöntur brjóta niður áhrif regndropa áður en þeir lenda í jarðveginum.,
ARC-Challenge/train/Mercury_SC_LBS10674,D,Hvert af eftirfarandi er dæmi um efnabreytingu?,ský myndast,sykur sem leysist upp,vatnsfrysting,kerti brennur,
ARC-Challenge/train/NYSEDREGENTS_2009_8_20,D,Einn mikilvægur munur á lifandi og ólifandi er sá að aðeins lifandi hlutir hafa,Efnasambönd,þættir,sameindir,frumur,
ARC-Challenge/train/Mercury_SC_405303,C,Hvaða vatnsform er líklegast að komi fram þegar hitastig er undir frostmarki?,þoka,rigning,snjór,skýjað,
ARC-Challenge/train/Mercury_7245070,B,Hvaða matvörur er hægt að brjóta niður að mestu í amínósýrur?,Spagettí-núðlur,Hamborgarabrauð,eplahneppi,gúrkusneiðar,
ARC-Challenge/train/Mercury_7284060,B,"Vampírufinkur á Galapagos eyjum kroppa aðra fuglategund, bláfættan bauga, þar til finkurnar sárbæna. Síðan drekka finkurnar blóð bauga. Vísindamenn halda að fyrir mörgum kynslóðum hafi finkurnar kroppað pöddur af bauga og hegðunin þróast í það sem hún er í dag. Hvor staðhæfingin lýsir best sambandi fugla fyrir mörgum kynslóðum og sambandinu í dag?",Gamla sambandið var sníkjudýralegt. Nýja sambandið er gagnkvæmt.,Gamla sambandið var gagnkvæmt en nýja sambandið er sníkjudýr.,Bæði samböndin eru sníkjudýr.,Bæði samböndin eru gagnkvæm.,
ARC-Challenge/train/Mercury_416673,A,Margir þættir hafa áhrif á heilsu fólks. Hvaða hugtak lýsir best mataræði og hreyfingu hjá flestum fullorðnum?,lífsstílsval,umhverfisþáttur,erfðafræðileg tilhneiging,hegðun sem er ávísuð af lækni,
ARC-Challenge/train/NYSEDREGENTS_2011_4_13,C,Nemandi sem hjólar sér að hann fer hraðar yfir sléttan veg en torfæran. Það gerist vegna þess að slétti vegurinn hefur,minni þyngdarafl,meiri þyngdarafl,minni núningur,meiri núningur,
ARC-Challenge/train/MCAS_1998_8_5,A,Hvor staðhæfingin um ljóstillífun og öndun er sönn?,Ljóstillífun geymir orku og öndun losar orku.,Öndunin geymir orku og ljóstillífun losar orku.,Ljóstillífun og öndun eru sama ferlið.,Ljóstillífun og öndun hafa ekkert með orku að gera.,
ARC-Challenge/train/Mercury_7030083,B,Daginn áður en bekkurinn fer í tilraunastofu minnir kennari þeirra á að fara ekki í opna skó í skólann daginn eftir. Hvaða rök útskýra beiðni kennarans best?,til að koma í veg fyrir að spilliefni leki,til að koma í veg fyrir áverka á tám eða fótum,til að koma í veg fyrir að þeir verði þreyttir á fótum,að halda þeim kyrrum ef áföll dynja yfir,
ARC-Challenge/train/MEA_2010_8_7,B,Hvert af eftirfarandi er lengst frá jörðinni?,Halastjarna Halleys,Andromeda vetrarbrautin,Neptúnus,Sólin,
ARC-Challenge/train/Mercury_184345,C,Hvert af eftirfarandi er besta sönnun þess að landsvæði hafi eitt sinn verið hulið jökli?,kalksteinsskálar,sjávarjarðefni,slit á yfirborðsgrjóti,flagnandi bergflekar,
ARC-Challenge/train/Mercury_7071943,C,Hvaða jarðvegsþáttur hefur minnsta getu til að halda vatni?,silt,leir,sandi,humus,
ARC-Challenge/train/MCAS_1998_8_4,B,Hvaða staðhæfing lýsir best sambandinu á milli heildarmagns vatnsgufu sem andrúmsloftið getur geymt og hitastigs andrúmsloftsins?,Magn vatnsgufu er ekki í tengslum við hitastig andrúmsloftsins.,Magn vatnsgufu eykst eftir því sem hitastig andrúmsloftsins hækkar.,Magn vatnsgufu eykst eftir því sem hitastig andrúmsloftsins lækkar.,Magn vatnsgufu minnkar eftir því sem hitastig lofthjúpsins hækkar.,
ARC-Challenge/train/Mercury_SC_401284,C,Ákveðið dýr hefur sérhæfðar frumur sem geta valdið því að það breytir lit hratt. Þessi litabreyting hjálpar dýrinu líklegast,hlaupið hratt.,melta mat hratt.,fela sig fyrir rándýrum.,halda líkamshita.,
ARC-Challenge/train/Mercury_411450,D,"Stjörnufræðilegar einingar eru notaðar til að mæla fjarlægðir milli fyrirbæra í geimnum. Ein stjarnfræðileg eining (AU) er fjarlægðin milli jarðar og sólar. Miðað við þessar upplýsingar, hversu margar stjarnfræðilegar einingar er Mars frá sólinni?",0.4,0.7,1.0,1.5,
ARC-Challenge/train/MCAS_1999_4_2,D,Af hverju er betra að vera í hvítum bol en dökkbláum bol á sumrin?,Ljós á fötum hleypir meira lofti inn.,Ljós föt koma í veg fyrir svitamyndun.,Ljós á fötum eru ekki eins þung og dökk á fötum.,Ljós á fötum endurspegla meira sólarljós en dökk á fötum.,
ARC-Challenge/train/Mercury_SC_LBS10046,B,Íkorni sem safnar hnetum hjálpar trjánum,vaxa.,fjölga sér.,að standast sjúkdóminn.,verða sterkari.,
ARC-Challenge/train/MDSA_2010_4_28,A,"Sum matvæli sem menn borða, eins og maís og ertur, eru í raun fræ plantna. Hvað lýsir best hlutverki mannsins í fæðuvef sem inniheldur þessar plöntur?",neytandi,a decomposer,framleiðandi,a skötusel,
ARC-Challenge/train/Mercury_401376,B,Hvert þeirra er ekki dæmi um líkamlega breytingu á ástandi?,suða,hræra,frysting,gufa upp,
ARC-Challenge/train/Mercury_SC_401153,C,Hvaða plöntuhluti er líkur fuglseggjum?,laufblað,rótin,fræ,stofn,
ARC-Challenge/train/TIMSS_2003_4_pg5,C,Sterkur segulmagnari skilur að blöndu af,glært gler og grænt gler.,pappírsbollur og plastbollur.,járnnaglar og álnaglar.,sand og salt.,
ARC-Challenge/train/Mercury_7219083,D,Geislavirkni ísótópa í berginu er hægt að nota til að greina hvaða eiginleika bergið hefur?,heildarmassi bergsins,hversu hratt bergið myndaðist,þær tegundir steingervinga sem bergið inniheldur,hversu langur tími hefur liðið frá því að bergið myndaðist,
ARC-Challenge/train/Mercury_SC_414081,D,Nemandi blés lofti í fjörukúlu og lokaði hana inni. Hún ýtti svo á miðja fjörukúluna. Hvað varð um loftið inni í fjörukúlunni?,Loftið í strandboltanum slapp.,Loftið í strandboltanum varð að vökva.,Lofttegund í strandbolta breyttist.,Lögun loftsins í strandboltanum breyttist.,
ARC-Challenge/train/Mercury_7116130,B,Vaxtarhraði grastegundar var mældur í trjálausum garði og trjáskyggðum garði. Grasið óx tvöfalt hraðar í trjálausa garðinum. Hvaða þáttur er líklegastur til að hafa áhrif á vaxtarhraðamuninn?,magn dýra,ljósmagn,magn jarðvegs,magn regns,
ARC-Challenge/train/AKDE&ED_2008_4_36,B,Einstaklingur veiðir og mælir stóran fisk sem kallast lúða. Hún heldur að lúðan sé yfir meðallagi að stærð. Til að styðja við þessa hugsun hennar væri gagnlegast að mæla,margar tegundir fiska.,marga fiska af sömu tegund.,fiskur frá sama stað.,fiska á öðru árstímabili.,
ARC-Challenge/train/Mercury_7029645,A,Málmfrumeindir munu að öllum líkindum mynda jónir með,rafeindatap.,prótónutap.,mögnun á rafeindum.,gróða á prótónum.,
ARC-Challenge/train/NYSEDREGENTS_2006_4_19,D,Skjaldbakur sem étur orma er dæmi um,öndun,fjölgun,að útrýma úrgangi,að taka inn næringarefni,
ARC-Challenge/train/Mercury_SC_409238,A,Ugla veiðir mýs sem lifa á túni bónda. Eftir að bóndinn safnar uppskerunni hafa mýsnar færri staði til að fela sig á. Hvað er líklegast að gerist eftir að uppskerunni er safnað?,Uglan mun veiða fleiri mýs.,Uglan veiðir á öðrum vettvangi.,Uglan fær nýtt efni til að byggja hreiður sitt.,Uglan á erfitt með að fóðra ungviðið.,
ARC-Challenge/train/MCAS_2013_5_29397,D,Hvert af eftirfarandi er dæmi um orkuform?,loftið í innsiglaðri krukku,vírinn í málmhengi,vatnið í litlum polla,hljóðið í háværri kennslustofu,
ARC-Challenge/train/Mercury_7038203,B,"Þegar fingur er skorinn og blæðir, flytjast blóðflögur og plasmaprótein til skurðarins til að stöðva blæðinguna. Þegar þessir þættir flytjast til skurðarins, örvar það fleiri blóðflögur og prótein til að flytjast til skurðarins til að stöðva blæðinguna. Hvers konar ferli er verið að sýna fram á?",neikvæð svörun,jákvæð endurgjöf,endurgjöf frá eftirlitsaðilum,endurgjöf á örvun,
ARC-Challenge/train/Mercury_414091,B,Hvert er algengasta frumefnið í efnasamböndum sem mynda hafsjó?,köfnunarefni,súrefni,kolefni,kísil,
ARC-Challenge/train/Mercury_7086118,C,Nemandi leggur vatn og þvottaefni í bolla af mold. Blandan er hrist og látin setjast. Nemandi sér að sítrónuagnir haldast í sviflausn löngu eftir að hinar agnirnar mynda lög neðst í krukkunni. Líklegasta skýringin er að sítrónuagnirnar séu,lífrænt.,að leysast upp.,ekki jafn þétt.,hreyft hraðar.,
ARC-Challenge/train/Mercury_SC_405455,D,Ný vélatækni hefur hjálpað bílum að ná meiri kílómetrafjölda á bensínlítra. Þar sem bensín er framleitt úr olíu mun þessi tækni hafa áhrif á olíubirgðir í heiminum um,að þörfin fyrir að leita að meiri olíu aukist.,að stytta þann tíma sem það tekur olíu að endurnýja sig.,minnka magn olíu sem er til neðanjarðar.,lengri tíma sem olía verður tilbúin til notkunar.,
ARC-Challenge/train/Mercury_7213115,C,Hvaða vatnsgeymir inniheldur mest magn af ferskvatni?,vötn,ár,ísblöð,Veitendur,
ARC-Challenge/train/MCAS_2006_9_5-v1,C,Í koparvír er hitaaukning afleiðing af hvoru af eftirfarandi?,aukning á stærð koparsögnanna,minnkun á massa koparsögnanna,aukin hreyfing á koparögnunum,minnkun á fjarlægð milli koparsögnanna,
ARC-Challenge/train/NYSEDREGENTS_2004_4_12,D,Hvaða matur er ávöxtur?,kartöflu,lauk,gulrót,grasker,
ARC-Challenge/train/Mercury_SC_401197,C,Öruggar starfsaðferðir á rannsóknarstofu fela í sér allt þetta nema,binda aftur sítt hár.,í öryggisgleraugum.,að framkvæma hvert skref hratt.,þurrka strax upp leka.,
ARC-Challenge/train/Mercury_7211663,D,Nú eru lífverur flokkaðar eftir DNA sönnunargögnum. Hvað af eftirfarandi er gagnlegast fyrir rannsakanda að flokka lífveru sem er nýlega uppgötvuð?,jarðefnamet,Genaspólun,sérvalin kynbótastarfsemi,rafdráttur á geli,
ARC-Challenge/train/Mercury_7214463,A,Rauð stjarna er líklegast með meiri stjörnuþyngd en sólin í samanburði við sólina,magn.,snúningshraða.,yfirborðshita.,fjölda reikistjarna á braut um jörðina.,
ARC-Challenge/train/Mercury_SC_401364,C,Dropa af rauðum matarlit er bætt út í skál af vatni. Nokkrum mínútum síðar er allt vatnið orðið rautt. Hver þessara aðferða lýsir breytingunni sem átti sér stað?,rof,osmósuþörf,flæði,blóðgjöf,
ARC-Challenge/train/MCAS_2005_9_20,A,Hvert af eftirfarandi er líkt 20 milli röntgenbylgna og hljóðbylgna?,Báðir flytja orku.,Hvort tveggja krefst tómarúms.,Báðir hafa sama hraða.,Báðar hafa þær sömu tíðni.,
ARC-Challenge/train/Mercury_7140035,C,Ánamaðkar ferðast af handahófi um jarðvegsbotn. Hvaða áhrif hafa ánamaðkar líklegast á jarðvegsbotninn?,með því að þjappa jarðveginum saman,með því að draga úr frjósemi jarðvegs í efstu gróðurlendum,með því að bæta næringarefnum í jarðvegsbotninn,með því að fjarlægja steinefnin úr jarðveginum,
ARC-Challenge/train/NCEOGA_2013_5_10,A,Hver er besta skýringin á því hvernig loftmassar flytjast yfir Bandaríkin?,Hinir ríkjandi vesturveldar flytja loftmassa frá vestri til austurs um Bandaríkin en geta sveigt með straumi þotustreymis.,Viðskiptavindar flytja loftmassa frá vestri til austurs um Bandaríkin.,Þotustraumurinn flytur loftmassa frá Kyrrahafi yfir Bandaríkin.,Hlýtt loft í Golfstraumnum veldur því að loftmassar flytjast frá Atlantshafi til Kyrrahafs.,
ARC-Challenge/train/Mercury_SC_LBS10343,B,"Þungi þungra vinnuvéla þjappar jarðvegi saman, sérstaklega þegar hann er blautur. Af hverju forðast bændur að keyra vinnuvélar sínar yfir blautan jarðveg?",Þjappaður jarðvegur mun gleypa of mikið vatn.,Plöntur geta ekki vaxið þegar jarðvegur er þjappaður.,Jarðefni eyðast við þjöppun jarðvegs.,Þjappaður jarðvegur eykur sýrustig jarðvegs.,
ARC-Challenge/train/Mercury_7212030,D,Í samanburði við bíla sem knúnir eru bensíni og eru af svipaðri stærðargráðu eru rafmagns- og bensínblöndubílar aðallega hannaðir til að,framleiða meira hestafl.,útblástur gróðurhúsalofttegunda.,starfa óháð jarðefnaeldsneyti.,veita betri gaskílómetra.,
ARC-Challenge/train/Mercury_7017168,D,Hvert er besta dæmið um að efnabreyting hafi átt sér stað?,breyting á ríki,losun orku,hitastigsbreytingar,myndun nýs efnis,
ARC-Challenge/train/TIMSS_2011_8_pg100,B,Hvaða líffæri frosks hefur svipaða virkni og lungu hjá fugli?,nýra,húð,lifur,hjarta,
ARC-Challenge/train/Mercury_SC_LBS10900,C,Sem er ekki dæmi um dýrslegt eðli?,fólksflutningar,í dvala,veiðikunnátta,byggja hreiður,
ARC-Challenge/train/Mercury_7106733,B,Náttúrufræðikennari fyllti eina blöðru af helíum gasi og aðra blöðru af koltvísýringi. Helíumfyllta blöðran stóð upp í loft og sú blöðra sem var full af koltvísýringi féll í gólfið. Hvaða fullyrðing er ályktun út frá þessari sýnikennslu?,Hver blöðra hagaði sér á mismunandi hátt.,Þéttleiki gass í helíum er minni en í lofti.,Koltvísýringur veldur því að loftbelgur þenst út.,Hægt er að fylla loftbelgi með mismunandi lofttegundum.,
ARC-Challenge/train/Mercury_7128380,A,"Tveir hlutir af sama málminum eru settir á borð. Málmhlutarnir hafa sama þéttleika, massa og áferð. Hvaða eiginleiki þarf að vera EINANGURSmunur á sýnunum tveimur?",Þær hafa mismunandi víddir.,Þau hafa mismunandi suðupunkta.,Þau eru úr annars konar efni.,Þau innihalda mismunandi magn af efni í hverju rúmmálseiningu.,
ARC-Challenge/train/MEA_2014_8_15,D,"Býflugur sjá aðeins bylgjulengdir sem eru í gulu, bláu og útfjólubláu ljósi. Mörg plöntublóm eru gul, blá og útfjólublá merkin sem eru nálægt miðju blómsins. Hvaða setning lýsir því hvaða lífverur njóta góðs af þessu og hvers vegna?","Einungis plöntur njóta góðs af því, því býflugur ná ekki að fóðra plöntuna.","Býflugur einar hafa ávinning af því, því blómin eru skemmd af býflugum.","Hvorki býflugur né plöntur njóta góðs af því, því það hjálpar ekki heldur til við fjölgun.","Bæði býflugur og plöntur njóta góðs af því, því býflugur finna sér æti og plöntur fá aðstoð við æxlun.",
ARC-Challenge/train/Mercury_7168560,C,Vatnsferlið lýsir hreyfingu vatns jarðar. Um 96% af vatni jarðar er saltvatn sem finnst í hafinu en hin 4% eru ferskvatn. Hvar væri meirihluti ferskvatns jarðar að finna?,grunnvatn og vatnsból,mýrar og votlendi,íshellur og jöklar,vötn og ár,
ARC-Challenge/train/MDSA_2010_8_18,A,Mannslíkaminn hefur margþætta uppbyggingu sem styður við vöxt og afkomu. Hver er grunnuppbygging mannslíkamans sem styður við vöxt og afkomu?,a-reitur,a vef,an organ,líffærakerfi,
ARC-Challenge/train/Mercury_7283938,C,Karólínur og málaðir loðdýr eru tvær fuglategundir sem lifa á sköruðum svæðum. Þær gera mismunandi kröfur til fæðu og hreiðurgerðar. Hvaða hugtak lýsir best sambandi þessara tveggja tegunda?,Sníkjudýrafræði,symbiosis,sambúð,gagnkvæmni,
ARC-Challenge/train/NYSEDREGENTS_2007_8_23,D,Hvort fyrirbærið tekur í sig sýnilegustu ljósorkuna þegar það er sett í beint sólarljós?,glært glerbrot,snjóbolti,glansandi spegill,svarta peysu,
ARC-Challenge/train/Mercury_SC_415697,B,Hvaða tvær tegundir orku er hægt að framleiða með því að nudda sandpappír á tré?,hiti og ljós,hljóð og hiti,ljós og rafmagn,rafmagn og hljóð,
ARC-Challenge/train/Mercury_7044048,B,Hvaða þáttur getur aukið magn brennisteinsdíoxíðs í lofti?,of mikill áburður settur á ræktunarsvæði,rekstur kolakyntra raforkuvera,heitur sumardagur,of mikil rigning,
ARC-Challenge/train/Mercury_401011,C,gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös gös,eru lofttegundir með lítinn þéttleika.,eru ekki í miklu magni á jörðinni.,hafa algjörlega ystu orkustig.,hafa tvær rafeindir í ysta orkustigi sínu.,
ARC-Challenge/train/MCAS_2005_8_15,B,"Brennisteinn (S), súrefni (O2), vatn (H2O) og natríumklóríð (NaCl) eru dæmi um hrein efni. Hvert af eftirfarandi lýsir öllum hreinum efnum?",Hreint efni samanstendur aðeins af einni gerð frumefna.,Hreint efni hefur ákveðna efnasamsetningu.,Ekki er hægt að brjóta hreint efni niður í einfaldari efni.,Hreint efni finnst venjulega sem fast efni við stofuhita.,
ARC-Challenge/train/Mercury_183978,B,Hvert þeirra er dæmi um aðlögun til varnar gegn rándýrum?,Gíraffinns langi háls,barnadísarblettir,oilyfur otter's,fiska tálkn,
ARC-Challenge/train/VASoL_2010_3_21,B,Hvort þeirra lýsir vatni í föstu formi?,Gufa rís á himninum,Halar í stormi,Öldurnar brotna á ströndinni,Rigning úr skýjunum,
ARC-Challenge/train/Mercury_7009923,A,Hver af eftirfarandi er líkleg ástæða fyrir því að sökkull myndast?,að auðlindir neðanjarðar verði fjarlægðar,árekstur tveggja jarðskorpufleka,Þéttar bergmyndanir undir jarðveginum,uppsöfnun sets á hafsbotni,
ARC-Challenge/train/Mercury_7246873,D,Hvort þeirra bendir til eðlisbreytinga sem eiga sér stað við meltinguna?,sýrum bætt við til að búa til matarkúlu,seytun pepsíns til að breyta próteinum í peptíð,niðurbrot matvælaefna með meltingarsafa,að smeygja sér í mat í gegnum garnirnar,
ARC-Challenge/train/Mercury_7086153,D,Kol eru fast berg sem byrjaði sem lífrænt efni sem lagðist í mýri. Myndun kola bendir til þess að,Kol eru að mestu úr beinaleifum dýra.,Kol eru mynduð úr kviku sem hefur storknað með tímanum.,það verður fljótt að gæludýraeitur þegar vatn er fjarlægt.,Jarðfræðileg ferli halda áfram í milljónir ára.,
ARC-Challenge/train/Mercury_7246978,D,Hvaða orkubreyting á sér stað þegar einstaklingur skjálfar og orkan flyst til að vöðvar og liðir hreyfast?,Hreyfiorka yfir í mögulega orku,varmaorka yfir í hreyfiorku,möguleg orku til efnaorku,efnaorka yfir í vélræna orku,
