link,question_number,flores_passage,question,mc_answer1,mc_answer2,mc_answer3,mc_answer4,correct_answer_num,dialect,ds
"https://en.wikibooks.org/wiki/General_Biology/Genetics/DNA,_The_Genetic_Material",1,Tilraun Hershey og Chase var ein af leiðandi tillögum þess efnis að DNA væri erfðaefni. Hershey og Chase notuðu fögur eða veirur til að skeyta þeirra eigin DNA saman við bakteríu. Þeir gerðu tvær tilraunir sem merktu annað hvort DNA í veirunni með geislavirkum fosfór eða prótíni veirunnar með geislavirkum brennisteini.,Í hvað græddu Hershey og Chase erfðaefni sitt? ,Geislavirk fögur,Erfðaefni,Geislavirkan brennistein ,Veirur ,4,isl_Latn,2023-07-21
https://en.wikinews.org/wiki/Chris_Huhne_resigns_from_UK_Cabinet_to_face_charges,1,"Ríkissaksóknarinn, Kier Starmer QC, sendi frá sér út yfirlýsingu í morgun þar sem hann tilkynnti lögsókn á hendur bæði Huhne og Pryce. Huhne hefur sagt af sér embætti og þingmaðurinn Ed Davey kemur í hans stað innan ríkisstjórnarinnar. Búist er við því að þingmaðurinn Norman Lamb taki við embætti viðskiptaráðherra í stað Davey. Huhne og Pryce koma fyrir héraðsdóm Westminster þann 16. febrúar.","Vegna málsóknarinnar, hver tekur við embætti Huhne?",Davey,Starmer,Lamb,Pryce,1,isl_Latn,2023-07-21
https://en.wikinews.org/wiki/Mitt_Romney_wins_2012_Florida_primary,2,"Mitt Romney, fyrrum ríkisstjóri Massachusetts, vann forkosningar Repúblikanaflokksins í Flórída síðasta þriðjudag með yfir 46 prósent atkvæða. Fyrrum þingforseti fulltrúadeildarinnar, Newt Gingrich, var annar með 32 prósent. Í ríki þar sem sigurvegarinn fær alla fulltrúana fékk Romney alla fimmtíu fulltrúa Flórída og var því kominn með forystu í tilnefningu Repúblikanaflokksins fyrir forsetakosningarnar.","Samkvæmt því sem fram kemur í kaflanum, hvert var hlutfall atkvæða greitt Gingrich í forkosningunum?",50 prósent,32 prósent,46 prósent,35 prósent,2,isl_Latn,2023-07-21
https://en.wikivoyage.org/wiki/Montevideo,2,"""Því Montevideo er sunnan miðbaugs er sumar þar þegar vetur er á norðurhveli jarðar og öfugt. Montevideo er í heittemptraða beltinu. Á sumrin er algengt að hitastigið sé yfir 30 ° C. Veturinn getur verið blekkjanlega kaldur: hitastig fer sjaldan undir frostmark, en vindur og raki til samans gera að verkum að það virkar kaldara en hitamælirinn segir til um. Það er ekkert sérstakt """"regn-"""" og """"þurrka""""tímabil: úrkoman er svipuð yfir allt árið.""","Samkvæmt því sem fram kemur í kaflanum, hvenær ætti ferðamaður að heimsækja Montevideo ef hann þolir ekki mikinn hita?",Þegar það er sumar í Montevideo,Þegar það er sumar á norðurhvelinu,Yfir regntímann í Montevideo,Þegar það er vetur á norðurhvelinu,2,isl_Latn,2023-07-21
https://en.wikinews.org/wiki/Anonymous_people_reveal_animal_cruelty_at_Australian_Inghams_poultry_producer_factory_using_CCTV_footage,2,"""Dýraverndunarsamtökin og konunglegu samtökin um dýravernd (RSPCA) gera enn á ný kröfu um lagasetningu til að öryggismyndavélum verði komið fyrir í öllum sláturhúsum Ástralíu. Aðalskoðandi RSPCA New South Wales, David O'Shannessy, greindi ABC frá því að eftirlit og skoðanir á sláturhúsum skyldu vera algengar innan Ástralíu. „Eftirlitsbúnaðurinn myndi vissulega senda sterk skilaboð til fólks sem vinnur með dýr, um að velferð þeirra sé í forgangi.""""""","Samkvæmt því sem fram kemur í kaflanum, hvað gæti sýnt starfsfólki ástralskra sláturhúsa fram á mikilvægi dýravelferðar?",Uppsetning öryggismyndavéla ,Skyldufundir með dýraverndunarsamtökum,Reglulegar eftirlitsferðir í sláturhús,Eftirlit á vegum ABC,1,isl_Latn,2023-07-21
https://en.wikivoyage.org/wiki/Goma,2,"Goma er ferðamannaborg í Lýðveldinu Kongó lengst í austri nálægt Rúanda. Árið 2002 eyðilagðist Goma í eldgosi Nyiragongo-eldfjallsins sem gróf flestar götur bæjarins í hraunrennslinu, þó sér í lagi miðhlutann. Þó Goma sé nokkuð örugg, skal huga vel að öllum ferðum út fyrir Goma, til að átta sig á hver staða átakanna er sem geysa enn í héraðinu North Kivu. Borgin er einnig bækistöð fyrir uppgöngu á Nyiragongo-eldfjallið ásamt einni af ódýrustu göngunum til að skoða fjallagórillur í Afríku. Notast má við boda-boda (vélhjólataxa) til að ferðast um Goma. Venjulegt verð (innan svæðis) er ~500 kongólskir frankar fyrir stutta ferð.",Hvert af eftirtöldu er ekki gott ráð fyrir ferðamenn í Goma?,Bardagarnir í North Kivu héraði eru besta skemmtun,Góður staður fyrir ódýrar górilluskoðunarferðir,Vélhjólataxar eru góður ferðamáti,Rætur Nyiragongo eldfjallsins eru í borginni,1,isl_Latn,2023-07-21
https://en.wikinews.org/wiki/Parts_of_New_Orleans_flood_again,1,"Sérdeild verkfræðinga í bandaríska hernum áætlaði að 6 tommu úrkoma gæti rofið áður skemmda flóðgarða. Ninth Ward, þar sem flóðhæð varð allt að 20 fet þegar fellibylurinn Katrín varði, er þessa stundina í mittisháu vatni þegar flætt hefur yfir nærliggjandi stíflugarð. Vatnið rennur yfir varnargarðinn á 30 metra löngum kafla.",Hversu hátt er vatnsborðið í Nine Ward um þessar mundir?,20 fet ,6 tommur,Mittishátt,100 fet,3,isl_Latn,2023-07-21
https://en.wikivoyage.org/wiki/Travel_advisories,2,"Ef gefin er út tilkynning til ferðalanga í landinu sem þú ert að ferðast til kann það að hafa áhrif á sjúkra- eða forfallatrygginguna þína. Einnig væri gott að leita ráða hjá öðrum stjórnvöldun, en ráðgjöf þeirra miðast við þeirra eigin borgara. Sem dæmi gætu aðstæður verið aðrar fyrir bandaríska ríkisborgara í Miðausturlöndum heldur en Evrópubúa og Araba. Álitsgerðir eru eingöngu stuttar samantektir á stjórnmálaástandi í tilteknu landi. Þær skoðanir sem oft er lýst eru  oft yfirborðslegar, altækar og ofureinfaldar miðað við ítarlegri upplýsingar sem eru fáanlegar annars staðar.","Ef ferðaviðvörun er sett á, hvað væri erlendur ferðamaður ólíklegur til að upplifa?",Áhrif á ferðatryggingu ,Að fá ofureinfaldaðar samantektir varðandi pólitískt ástand í landinu,Áhrif á sjúkratryggingu,Að fá upplýsingar um pólitískt ástand í smáatriðum,4,isl_Latn,2023-07-21
https://en.wikinews.org/wiki/Ian_Thorpe_starts_to_recover_from_chest_pains,1,Gullverðlaunahafinn á Ólympíuleikunum átti að synda 100 m og 200 m skriðsund og í þrjú boðsund á Samveldisleikunum en vegna kvartana hans hefur hreysti hans verið dregin í vafa. Hann hefur ekki getað tekið inn lyfin sem eiga að lina verkina þar sem þau eru bönnuð á leikunum.,Hversu mörg sund ætlaði gullverðlaunahafinn frá Ólympíuleikunum að synda á samveldisleikunum?,Fimm,Tvö,Tveir,Fjögur,1,isl_Latn,2023-07-21
https://en.wikinews.org/wiki/La_La_Land_receives_record-equalling_fourteen_Oscar_nominations;_Hacksaw_Ridge_gets_six,2,"Kvikmyndin með Ryan Gosling og Emma Stone hlaut tilnefningar í öllum helstu flokkum. Gosling og Stone voru tilnefnd sem besti aðalleikari og aðalleikkona. Tilnefningar voru einnig veittar fyrir bestu kvikmynd, leikstjóra, kvikmyndatöku, búningahönnun, klippingu, frumsamda tónlist, framleiðsluhönnun, hljóðklippingu, hljóðblöndun og frumsamið handrit. Tvö lög úr kvikmyndinni, Audition (The Fools Who Dream) og City of Stars, voru tilnefndar fyrir besta frumsanda kagup. Lionsgate kvikmyndaverið fé 26 tilnefningar — fleiri en nokkurt annað ver.",Í hvaða flokki hlaut myndin ekki tilnefningu?,Besta mynd,Bestu hljóðbrellur,Besta hljóðblöndun,Besta frumsamda lagið,2,isl_Latn,2023-07-21
https://en.wikinews.org/wiki/Sandra_Fluke_insists_she_will_not_be_silenced,1,Fluke skrifaði að tilraunir sumra til að þagga niður í konum sem vildu tala um heilsu kvenna hafi ekki borið árangur. Niðurstaða hennar var þessi eftir mörg jákvæð ummæli og hvatningu sem  konur og karlar sendu henni og hvöttu til þess getnaðarvarnarlyf yrðu talin nauðsyn á læknisfræðilegu sviði.,"Samkvæmt Fluke, hver sendi henni jákvæð ummæli og hvatningu?",Læknar,Baráttufólk fyrir bættri heilsu kvenna,Karlar,Bæði karlar og konur,4,isl_Latn,2023-07-21
https://en.wikivoyage.org/wiki/Safaris,2,"""Safarí er hugsanlega aðalaðdráttaraflið fyrir ferðamenn í Afríku og hápunktur ferðarinnar hjá mörgum gestum. Hugtakið safarí er almennt notað til að vísa til ferðalaga um land til að skoða töfrandi afrískt dýralíf, einkum á grassléttunni. Sum dýr, til dæmis fílar og gíraffar, hafa tilhneigingu til að nálgast bíla og staðalbúnaður auðveldar það að skoða þau vel. Ljón, blettatígrar og hlébarðar eru stundum feimnir og maður sér þá betur með sjónaukum. Gangandi safaríferð (líka kallað """"skógarferð"""", """"göngusafarí"""" eða að fara """"fótgangandi"""") felur í sér göngu sem tekur ýmist nokkra klukkutíma eða nokkra daga.""","Byggt á því sem kemur fram í kaflanum, hvers konar dýr er líklegt að rekast á í bílasafaríferð?",Ljón,Gíraffa ,Hlébarða,Blettatígur,2,isl_Latn,2023-07-21
https://en.wikinews.org/wiki/Australian_treasurer_enters_nuclear_debate,1,"""Peter Costello, fjármálaráðherra Ástralíu og sá aðili sem líklegast er að taki við af John Howard forsætisráðherra sem leiðtogi Frjálslynda flokksins, hefur lýst yfir stuðningi sínum við kjarnorkuiðnaðinn í Ástralíu. Hr. Costello sagði að Ástralía ætti að halda áfram notkun kjarnorku um leið og hún verði þjóðhagslega hagkvæm. """"Við ættum að komast yfir slíka tækni ef hún verður sett á almennan markað. Það er með öðrum orðum engin rök fyrir því að andmæla kjarnorku"""" sagði Costello.""",Hver er leiðtogi Frjálslynda flokksins í Ástralíu?,Peter Costello,John Howard,John Kerr,Malcolm Fraser,2,isl_Latn,2023-07-21
https://en.wikinews.org/wiki/Indiana_legislators_vote_for_state_constitutional_ban_on_same-sex_marriage,2,"Fyrirhuguð breyting var samþykkt í báðum þingdeildum árið 2011. Breyting var gerð á löggjöfinni þegar fulltrúadeildin felldi brott aðra setninguna og hún var síðan samþykkt á svipuðu formi af öldungadeildinni á mánudeginum. Misbrestur á annarrar setningar, þar sem lagt er til bann við óvígðri sambúð fólks af sama kyni, gæti skapað möguleikann á óvígðri sambúð í framtíðinni. Eftir ferlið verður HJR-3 tekið til athugunar á nýjan leik af næstu kjörnu löggjafarsamkundu annaðhvort árið 2015 eða 2016 til að halda ferlinu gangandi.","Samkvæmt því sem fram kemur í kaflanum, hvenær var annarri setningunni eytt?",Á löggjafarþinginu,Árið 2011,Á mánudag,Árið 2015,1,isl_Latn,2023-07-21
https://en.wikivoyage.org/wiki/Volunteer_travel,2,"Sjálfboðastarf á ferðalögum er mjög góð leið til að láta gott af sér leiða, en það snýst um fleira en að gefa. Að búa og bjóða sig fram til sjálfboðastarfs í erlendu landi er frábær leið til að kynnast annarri menningu, kynnast nýju fólki, læra um sjálfan sig, fá tilfinningu fyrir nýju sjónarhorni og jafnvel öðlast nýja færni. Önnur góð leið til að spara peninga er að skipuleggja lengri dvöl, því oft fylgir matur og gisting með sjálfboðaliðastörfum og í vissum tilvikum eru greidd laun.","Samkvæmt því sem fram kemur í kaflanum, hvernig kemur sjálfboðavinna sér vel fyrir ferðamann sem vill ferðast ódýrt?",Hún er nánast alltaf launuð,Hún leiðir vanalega til atvinnutækifæra,Stundum er frítt fæði og húsnæði í boði,Hún gefur manni nýtt sjónarhorn,3,isl_Latn,2023-07-21
"https://en.wikinews.org/wiki/Hong_Kong_tourists_held_hostage_in_the_Philippines,_nine_killed",2,"Fyrrverandi lögregluþjónn á Filippseyjum hneppti ferðamenn í Hong Kong í gíslingu með því að ræna langferðabifreið þeirra í Manila, höfuðborg Filippseyja. Rolando Mendoza skaut M16 riffli sínum á ferðamennina. Nokkrum gíslum hefur verið bjargað og staðfest er að að minnsta kosti 6 manns hafa látist. Sex gíslar, m.a. börn og eldri borgarar, voru látnir lausir snemma sem og filippseysku ljósmyndurunum. Ljósmyndararnir tóku síðar stöðu aldraðrar konu þar sem hún þurfti á salernið. Mendoza var skotinn niður.",Hvaða gíslum var ekki sleppt snemma í ferlinu ef byggt er á upplýsingunum?,Ferðamönnunum,Eldri borgurunum,Ljósmyndurunum,Börnunum,1,isl_Latn,2023-07-21
https://en.wikivoyage.org/wiki/Amsterdam/Canal_District,2,Síkjahverfið (hollenska: Grachtengordel) er hið fræga 17. aldar hverfi sem umkringir Binnenstad í Amsterdam. Allt umdæmið er tilnefnt sem staður á heimsminjaskrá UNESCO sökum hins einstaka menningarlega og sögulega gildis og eignargildi hans sem er með því mesta innan landsins.,Hvers vegna er síkjahverfið á heimsminjaskrá UNESCO?,Það hefur menningarsögulegt gildi,Þar eru einstakar byggingar,Það liggur í kringum Binnenstad,Vegna þess hve eignagildið er hátt,1,isl_Latn,2023-07-21
https://en.wikinews.org/wiki/Support_for_an_Australian_republic_slips,1,Af þeim 1.400 manns sem spurðir voru fyrir alríkiskosningarnar árið 2010 fjölgaði þeim sem eru á móti því að Ástralía verði lýðveldi um 8 prósent frá árinu 2008. Haft var eftir forsætisráðherranum Julia Gillard í kosningabaráttunni fyrir þingkosningarnar árið 2010 að hún teldi að koma ætti á fót lýðveldi í Ástralíu þegar valdatíð Elísabetar II Bretadrottningar lyki. 34% þeirra sem svöruðu skoðanakönnuninni eru sama sinnis og vilja að Elísabet II drottning verði síðasti konungsborni þjóðhöfðingi Ástralíu. Í mest afgerandi valkostum skoðanakönnunarinnar vildu 29 prósent þátttakenda að Ástralíu yrði breytt í lýðveldi sem allra fyrst á meðan 31 prósent fannst að aldrei ætti að koma á lýðveldi í Ástralíu.,Hversu hátt hlutfall svarenda vilja að Ástralía verði tafarlaust gerð að lýðveldi?,31%,29%,8%,34%,2,isl_Latn,2023-07-21
https://en.wikibooks.org/wiki/High_School_Earth_Science/Telescopes,1,Mannkynið hefur búið til og notað stækkunarlinsur í mörg þúsund ár. Hins vegar var byrjað að framleiða fyrstu alvöru sjónaukana í Evrópu á seinni hluta 16. aldar. Í þessum sjónaukum var notast við tvær linsur til að láta hluti í fjarlægð minnka og stækka.,Hvert af eftirtöldu hóf mannkynið að gera á 16. öld?,Nota linsur,Nota stækkunargler,Framleiða linsur,Framleiða sjónauka,4,isl_Latn,2023-07-21
https://en.wikinews.org/wiki/New_fossils_from_10_million_year_old_ape_found_in_Ethiopia,1,"""Samkvæmt þessum steingervingi átti aðskilnaðurinn sér stað mun fyrr en gert hefur verið ráð fyrir samkvæmt sameindafræðilegum niðurstöðum. Þetta þýðir að öllu seinkaði,"""" sagði vísindamaður við Rift Valley Research Service í Eþíópíu og meðhöfundur rannsóknarinnar, Berhane Asfaw.""","Samkvæmt því sem fram kemur í kaflanum, hvar fannst aðskilnaðurinn?",Í Rift Valley,Á steingervingi,Í sameindafræðilegum sönnunargögnum,Í Eþíópíu,2,isl_Latn,2023-07-21
https://en.wikibooks.org/wiki/Roman_Culture/Medicine,1,"Hernaðarsinnað eðli rómverska heimsveldisins stuðlaði að þróun innan læknisfræðinnar. Ágústus keisari fór að ráða lækna til starfa og setti meira að segja saman fyrstu rómversku herlæknadeildina sem átti að nýtast í kjölfar stríðsátaka. Skurðlæknar þekktu ýmsar tegundir róandi lyfja, þeir þekktu m.a. morfín sem unnið var úr valmúafræjum og skópólamín sem unnið var úr grasafræjum. Vandvirkni var sýnd við aflimun til að bjarga sjúklingum frá drepi, og æðarklemmur og slagæðaklemmur voru notaðar til að stöðva blóðflæði. Í margar aldir olli Rómverska heimsveldið mikilli framþróun á sviði læknisfræðinnar og skapaði mikið af þeirri þekkingu sem við þekkjum í dag.",Hvaða læknismeðferð eða -aðgerð er ekki minnst á að læknar og skurðlæknar í Rómarveldi hafi notað?,Meðhöndlun áfallastreituröskun með ýmsum róandi lyfjum,Skópólamín úr grasafræjum,Stöðvun blóðflæðis með æðaklemmum,Aflimun ef komið var drep í útlimi,1,isl_Latn,2023-07-21
https://en.wikibooks.org/wiki/Wikijunior:South_America/Venezuela,1,"Átján prósent Venesúelabúa eru atvinnulausir og flestir þeirra sem eru með atvinnu starfa í svarta hagkerfinu. Tveir þriðju íbúa Venezúela sem eru með atvinnu eru í þjónustugreinum, nærri fjórðungur er í iðnaði og um fimmtungur í landbúnaði. Olíuiðnaðurinn er Venesúela afar mikilvægur, en landið er stór olíuútflytjandi þrátt fyrir að aðeins um eitt prósent landsmanna starfi í olíuiðnaðinum.",Samkvæmt kaflanum í hvaða geira starfa fæstir Venesúelabúar?,Landbúnaði,Iðnaði,Olíuiðnaði,Þjónustugreinum,3,isl_Latn,2023-07-21
https://en.wikivoyage.org/wiki/Midnight_sun,1,"Ef þú ferðast um norðurskautið eða suðurskautið að vetri til færðu tækifæri til að upplifa skautanótt, þ.e.a.s. þegar sólin rís ekki yfir sjóndeildarhringinn. Þetta býður upp á gott tækifæri til að sjá norðurljósin, þar sem himinninn verður myrkur meira og minna allan sólarhringinn. Þar sem svæðin eru strjálbýl og ljósmengun því yfirleitt ekki vandamál muntu einnig geta notið þess að horfa á stjörnurnar.",Hvenær er besti tíminn fyrir stjörnuskoðun á svæðum í kringum Suðurskautslandið?,Yfir sumarmánuðina,Þegar ekki er margt fólk á svæðinu,Yfir vetrarmánuðina,Þegar ljósmengun er lítil,3,isl_Latn,2023-07-21
https://en.wikibooks.org/wiki/First_Aid/Poisoning,1,Innvortis eitrun kemur ekki alltaf strax í ljós. Einkenni eins og uppköst eru mjög almenn og því getur sjúkdómsgreining ekki átt sér stað strax. Bestu merkin um innvortis eitrun getur verið tilvist opins íláts með lyfjum eða eitruðum efnum til heimilisnota. Athugaðu hvort merkingar innihaldi leiðbeiningar um skyndihjálp vegna þessa tiltekna eiturs.,"Samkvæmt því sem fram kemur í kaflanum, hvert af eftirtöldu merkjum gefur skýrast til kynna innvortis eitrun?",Ógleði og hiti ,Uppköst og sviti,Alvarlegir vöðvakrampar og magaverkir,Glas af lyfseðilskyldum lyfjum,4,isl_Latn,2023-07-21
https://en.wikinews.org/wiki/Toronto_team-led_research_on_Type_1_Diabetes_%27groundbreaking%27,2,"""""""Nú erum við með 4-mánaða gamlar mýs sem eru ekki sykursjúkar, en voru það áður,"""" bætti hann við. Dr. Ehud Ur, læknaprófessor við Dalhousie-háskólann í Halifax í Nova Scotia og formaður klínískrar vísindadeildar Kanadíska sykursýkissambandsins, minnti á að rannsóknin væri rétt nýhafin. Eins og aðrir sérfræðingar efast hann um hvort lækna megi sykursýki og bendir á að þessar niðurstöður hafi enga þýðingu fyrir þá sem þegar þjást af sykursýki 1.""","Samkvæmt því sem fram kemur í kaflanum, hvað efast Dr. Ur um?",Að niðurstöðurnar skipti máli fyrir sykursýki 1,Að lækning sé möguleg,Skoðanir annarra lækna varðandi lækningu,Hvort ástand músanna sem hafa ekki sykursýki sé viðvarandi,2,isl_Latn,2023-07-21
