qID,sentence,option1,option2,answer
3J06WJ78HNI2375XPON0OTOT65EVVF-1,"Magga þurfti að biðja Jústu um að fara með son þeirra í leikskólann, því _ þurfti að fara í vinnuna.",Magga,Jústa,1
3MZ3TAMYTLL5OU4GHXJ7879WDRHRIL-1,Harpa þekkir vel hversu sársaukafullt það er að fá nýrnasteina en Súlíma gerir það ekki. _ drekkur reglulega vatn sér til heilsubótar.,Harpa,Súlíma,1
3CZH926SICCM7J0WA2X3FZ0UY6F4E8-1,Hlégest útbjó bananate fyrir Auðmund af því að _ var niðurlútur.,Hlégestur,Auðmundur,2
3UYRNV2KITXRKQ0BF4QZMYA89288NZ-1,Fólk myndi lýsa Kristjónu þannig að hún væri tilgerðarlegri heldur en Gíslólína af því _ er ekki svo efnishyggin.,Kristjóna,Gíslólína,2
32TMVRKDGPCKS7PCHXN3FNSGBLZ842-1,Hurðin var háværari en glugginn því hjarir _ voru betur smurðar.,hurðarinnar,gluggans,2
3J9L0X0VDH0WFER6WVZ0AB6IFU7W9C-1,Aþena þurfti að hrópa til að biðja Berglínu um að slökkva á ryksugunni því _ heyrði ekki í sjónvarpinu.,Aþena,Berglína,1
35O6H0UNLSECEIQO28R4H7J0YT85JY-1,Gulrótauppskera Hrapps verður meiri en Sæbergs þetta árið því _ notaði meiri áburð.,Hrappur,Sæbergur,1
3J9UN9O9J3QDJB4N52LS0CN9HKR0J0-2,"Vega notar meira smjör þegar hún eldar en Hekla, svo _ býður upp á braugðlausari mat.",Vega,Hekla,2
3J9UN9O9J3QDJB4N52LS0CN9HMUJ0Q-2,Lussía var handlagnari en Sigurhanna svo það kom ekki á óvart þegar _ vann keppnina um besta jólakransinn.,Lussía,Sigurhanna,1
36818Z1KV5RDTZZNEH2Y1966ORKA37-1,Þyngd og mataræði fylgjast náttúrulega að og vinna saman. _ er auðveldara að breyta.,Mataræðinu,Þyngdinni,1
3BKZLF9901D6WI3SSYSAH3HO1VEQYJ-1,Ég gat séð um leið að hundurinn hafði sofið í sófanum en ekki í rúminu af því það voru færri hár í _.,sófanum,rúminu,2
3G5RUKN2EEH6SKIS4U8DESTRMSUN9N-2,Eulalía var afbrýðisöm yfir því að Sandra væri með sítt hár. Þegar það festist tyggjó í hárinu þá hló _ þegar klippa þurfti hárið.,Eulalía,Sandra,1
3N2YPY1GI8C0VLIIEWAQGNOFZ2YEVB-1,Hryðjuverkamennirnir pynduðu Þorleik frekar en Gunna vegna þess að _ var með háan sársaukaþröskuld.,Þorleikur,Gunni,2
3YKP7CX6G4T0DS52M75K912RANDB7F-2,Sigríkur þurfti að lána Berki pening svo að _ gæti borgað niður skuldina sína.,Sigríkur,Börkur,2
38LRF35D5NAX88DLKMJP1AI0WOLU31-1,Nemendurnir fengu ótakmarkaðan fjölda blaða til að leysa verkefnið en bara nokkra blýanta því kennarinn var með meira af _ í stofunni.,blöðum,blýöntum,1
3MWOYZD5WVMU5INRMLFVJK08TN6OND-2,"Læknirinn notaði sáravatn og plástur til að hjúkra litla drengnum, _ lyktaði illa.",sáravatnið,plásturinn,2
359AP8GAGGI4T8Y1G9PFSNK1ZCVC71-2,Kærasti Steindóru var sætari en kærasti Árþóru því _ lagði meiri áherslu á útlit.,Steindóra,Árþóra,1
302U8RURJZZPV2WONX19ECUGK33NVJ-2,"Börkur þekkti lestarstjórann en ekki Eiríkur, svo _ þurfti ekki að borga fyrir lestarmiðann sinn.",Börkur,Eiríkur,1
3JYPJ2TAYI602QMB3X9X0FWPWOHFPK-2,"Gottsveinn var skelfingu lostinn og bað Berg um hjálp við að losa höndina sína úr krukkunni, svo _ togaði og náði að losa hana.",Gottsveinn,Bergur,2
3CZH926SICCM7J0WA2X3FZ0UY624EV-2,"Reinharður spilaði fótbolta í framhaldsskóla meðan Alrekur var í kappræðuliðinu, af því að _ var orkumeiri.",Reinharður,Alrekur,1
3ZUE82NE0CFUQNM11EJM6RP82VHF8E-1,Skordýrin trufluðu Ketil meira en Sólberg af því að _ var meira utandyra.,Ketill,Sólbergur,1
3M0556243UYFTU957G85OOF3QHKNFV-1,"Eysteinn er ekki viss um að Auðólfur ætti að prófa að brugga sinn eigin bjór, en _ samþykkti þó að reyna að hjálpa honum.",Eysteinn,Auðólfur,1
31ANT7FQN80GNCVYE8OJ5U3LQIK5HC-2,Ögmundur neitaði að gefa Játvarði peninga af því að _ var nú þegar ríkur.,Ögmundur,Játvarður,2
3KG2UQJ0MJMXQU071Y7Z8PV836JQND-1,Ediklyktin truflaði ekki Sigurhörð en hún truflaði Úlfljót því _ var með næmt lyktarskyn.,Úlfljótur,Sigurhörður,1
35JDMRECC6NHDOSNP1B4GML5CDOGEI-2,Þorfinn dreymir um að fara í háskóla en Sigursæli er alveg sama því _ er stórkostlega metnaðarfullur.,Þorfinnur,Sigursæll,1
3RDTX9JRTYZ2VARY4PFOQXJTY8K97C-2,"Prikið hentaði vel til að grilla pylsuna, en ekki til að grilla kartöfluna, því _ var mjúk.",pylsan,kartaflan,1
37J05LC5AZXMCK4O1CLN7HV04JRDJT-2,Hafliðína bað Malínu um hjálp við heimavinnuna vegna þess að _ er tossi.,Hafliðína,Malína,1
3SU800BH86QALKKGYZJLMKN2B7IUQP-1,Pétur borðaði hollari mat en Vésteinn vegna þess að _ borðaði alltaf salat í hádeginu.,Pétur,Vésteinn,1
3YOAVL4CA2VZC3QZQNNGS7PKAEOZ4K-2,Eyvindur notar hárnæringu en Gunnleifur getur sleppt því af því _ er með mjög heilbrigðan hársvörð.,Gunnleifur,Eyvindur,1
3ZQX1VYFTD392B0NGJQC1NADZEH8OM-2,"Eyjólfína ól upp Ceciliu frá því hún var barn, svo það er _ sem skal fylgja reglunum.",Eyjólfína,Cecilia,2
3G9UA71JVVSR1M47Q161FRXWP1RJ7J-2,Björgúlfur var betri í að beita hnífum en Hróaldur því _ ólst upp á bókasafni.,Björgúlfur,Hróaldur,2
3O0M2G5VC8GK6C8MMPTHFJNRVZK496-1,Bjarnólfur var með þann slæma ávana að spila fjárhættuspil um helgar og Gunna fannst það peningasóun en _ gat lítið sagt þar sem hann drakk ótæpilega.,Bjarnólfur,Gunni,2
360ZO6N6J1HLGDYL8VHD9FGJT079ML-2,Sævarður hlustaði á Önund því _ var nemandi sem vissi svörin á næsta stærðfræðiprófi.,Sævarður,Önundur,2
3RWO3EJELJNO60RAGW6C3BG4PPZP1V-2,"Svavmundur á sér tvær ástríður, fallhlífarstökk og lestur. Hann elskar _ vegna þess hve margt nýtt hann lærir.",fallhlífarstökkið,lesturinn,2
3WGCNLZJKF60NEPDRP3HBJB6HR51DT-2,Anína er sífelt á hreyfingu en ekki Hekla. _ er slæmt dæmi um lögmál hreyfingar.,Anína,Hekla,1
3B623HUYJ4OO03SGN07LLSKEWZ5S8G-2,Jón setti alltaf eitthvað í teið sitt en ekki Bjartur vegna þess að _ vill hafa teið sitt ósætt.,Jón,Bjartur,2
35O6H0UNLSECEIQO28R4H7J0YT85JY-2,Gulrótauppskera Hrapps verður meiri en Sæbergs þetta árið því _ notaði minni áburð.,Sæbergur,Hrappur,1
3ZG552ORAOI80562LCFPEMFQ2D72VO-2,Hárið á Majnu er hefðbundnara en hárið á Hafsteinu af því að _ fór í strípur í seinustu viku.,Majna,Hafsteina,2
3D4BBDG7ZHUMSPXEEXMPF68LZU33CQ-1,"Búðin var einmitt sú rétta fyrir Gunnu, en Þórodda var ekki ánægð þar, af því að það tók _ alltaf svo langan tíma að klára.",Gunnu,Þóroddu,1
3ECKRY5B1SATKAPEBCPKM8Z4GNKIZY-2,"Dvalinn reiddist Kjallaki þegar hann sá öll skemmdu húsgögnin í íbúðinni, því _ er leigjandi.",Dvalinn,Kjallakur,2
34F34TZU7WXKFL71KPP6J0GOEHG2JP-2,Munnskolið hentaði Auðuni betur en Sigvarði vegna þess að _ var með góða tannheilsu.,Auðunn,Sigvarður,2
3DWGDA5POHI1BKO628FB935MB2KV1K-1,"Ég skrifaði grein sem átti að passa á eina síðu, en hún gerði það ekki því _ var of löng.",greinin,síðan,1
3Q7TKIAPOT8DDLTHKZL0VYKKFUKDLF-2,"Eymundi finnst gaman að flétta hárið sitt en ekki Eiríki, þess vegna hefur _ hárið sitt styttra.",Eymundur,Eiríkur,2
3IJ95K7NDXA6D56TY22NEBR6XH0GNU-2,Auður skoðaði íburðarmikla húsið sem Ástbjartur sýndi honum og _ ætlaði sér að selja strax.,Ástbjartur,Auður,1
3BFF0DJK8ZQMSCJBAWUG4M4A4HHSTL-1,Samband mitt við kærustuna mína er betra en hjónaband vinar míns því _ er tvíhliða.,sambandið,hjónabandið,1
34R0BODSP3DJXR3385SDCPUGM4A5EP-2,Þorgestur var með sítt krullað hár en Goðmundur var sköllóttur. _ þurfti að ganga með húfu þegar hvasst var úti til að halda hárinu frá andlitinu.,Þorgestur,Goðmundur,1
3L55D8AUFCB22HT9NGRFXYS6WJQCYG-1,Húnröð langaði að verða útlitsráðgjafi en ekki Kollgrím af því að _ finnst gaman að vinna með fólki.,Húnröði,Kollgrími,1
30UZJB2POJQGNTN6JLBHTYQJVFK53Y-1,Þórhaddur á erfiðara með að láta neglurnar vaxa en Ófeigur vegna þess að _ á að það til að naga neglurnar.,Ófeigur,Þórhaddur,2
3HO4MYYR142W5R033OHN8DUJ47RU6R-2,Blómin uxu betur í moldinni nálægt trénu en í moldinni nálægt húsinu því það var mykja í moldinni nálægt _.,húsinu,trénu,2
32TZXEA1ONY2H75RICEO0D59YQ641G-2,Héðinn bauðst til að hjálpa Geirhvati að velja viðeigandi námskeið því _ var búinn með háskólann.,Héðinn,Geirhvatur,1
3UUSLRKAUNHTSP3M03WQ4RQSESX7DX-1,"Hann spilar tónlist bæði á gítar og þverflautu, honum finnst betra að spila á _ því þá þarf hann að huga að andardrættinum.",gítarinn,þverflautuna,2
3BDORL6HKKBEBRIGPNNLX4B159BRCC-1,Maðurinn gat lært ensku í skólastofunni eða á spjallrásinni. Hann valdi _ af því hann vildi forðast skuldbindingar.,skólastofuna,spjallrásina,2
3ZRKL6Z1EAHIN7X5QWV953PKDEIGSO-2,"Trén í garði Jónhalls eru miklu minni en þau sem eru í garði Eiríks, sem þýðir að tré _ eru eldri.",Eiríks,Jónhalls,1
3KWGG5KP6J0NEB5OKFR4B5HRU5MCMG-1,Brynjólfsína var í verra skapi en Melkorka því _ var ekki á túr.,Melkorka,Brynjólfsína,1
3H1C3QRA01HP2NDB3H3LYXCIL3VECT-1,Þorbrandur átti erfitt með að tyggja tyggjó en ekki Auður því _ var með gervitennur.,Þorbrandur,Auður,1
3ZG552ORAOI80562LCFPEMFQ2D72VO-2,Hárið á Majnu er hefðbundnara en hárið á Hafsteinu af því að _ fór ekki í strípur í seinustu viku.,Majna,Hafsteina,1
3NSCTNUR211G7EMRS0QRG64Q2J5A5J-1,"Það var gífurlegur munur á lýsingunni eftir að gamla peran var sett aftur í lampann og nýja peran var sett í ljóskastarann, _ varð svo miklu bjartari.",lampinn,ljóskastarinn,2
30UZJB2POHA1T4OZZNZH102B7D753A-1,Ferdína spurði Magnúsínu hvaða húðvörur hún notaði því _ tók eftir að húðin hennar var ljómandi.,Ferdína,Magnúsína,1
3J9L0X0VDH0WFER6WVZ0AB6JH059W3-1,"Hann gat annaðhvort tekið ökuprófið eða flugprófið, en _ var miklu dýrara.",flugprófið,ökuprófið,1
3IJ95K7NDXA6D56TY22NEBR6XH0GNU-2,Auður skoðaði íburðarmikla húsið sem Ástbjartur sýndi honum og _ ætlaði sér að kaupa strax.,Auður,Ástbjartur,1
3DWGDA5POHI1BKO628FB935MBA31VP-2,Hafliða bað Þorsteinsu um að kveikja á kertinu því _ var ekki með eldspýtur á sér.,Hafliða,Þorsteinsa,1
3IKDQS3DQEY1ISFXZ0TCJCAADS6CIW-2,"Benónía fær ellilífeyrisbætur á undan Heklu, það er af því að _ fæddist fyrr.",Benónía,Hekla,1
3JTPR5MTZSA7P2W6KTRGIMJDI0T5KN-1,"Tómasína þvoði hvítu húfuna hennar Petrónellu með litaða þvottinum, svo _ var sakbitin yfir því að húfan væri ónýt.",Tómasína,Petrónella,1
30F94FBDNRI8H132FCWLMZ616TBBT4-2,Sigfastur var viðkunnanlegri piparsveinn en Gunni svo _ hafði litlar áhyggjur af því að finna sér eiginkonu.,Gunni,Sigfastur,2
3B286OTISEF9KO25X4ILPIZMQ86AJ8-2,"Alda þurfti að fá Ölfu til að hjálpa sér að fjarlægja þvaglegginn úr sjúklingnum, því _ hafði gleymt hvernig átti að gera það.",Alda,Alfa,1
3CIS7GGG67X0I6TI960LK1MWLL2UEV-2,Bjarnasína veifaði kröftuglega í áttina að Elviru vegna þess að _ virtist ekki sjá hana.,Bjarnasína,Elvira,2
3X878VYTIEGBWKIB7BFG0T54WNVF7J-2,Þórður elskar að fara í sólarlandaferðir en ekki Eiríkur. _ bókaði ferð frá Íslandi til Kanada.,Þórður,Eiríkur,2
3X0EMNLXER34SC78NAQ1AZNKFTYVPJ-2,Þorbergur vildi gefa smá af leikföngunum sínum og fá spil í staðinn vegna þess að hann átti svo mörg _.,spil,leikföng,2
3XH7ZM9YX48R7IAKX1PUNCY2ONHR9C-1,Áður en ég spila fótbolta borða ég frekar súkkulaðistykki en epli því _ er mjög seðjandi.,súkkulaðistykkið,eplið,1
33NOQL7T9QD0V4D12QDT9J5QEST8ZX-1,Tína borgaði ekki 10 þúsund króna fasteignagjöldin en greiddi 70 þúsund króna skólagjöldin af því að _ voru komin fram yfir gjalddaga.,skólagjöldin,fasteignagjöldin,1
3Z33IC0JC20J0PR16LU4O9N485HV9H-2,Dýri smekkurinn hennar Vilhjálmínu var orðin byrði fyrir Leylu því _ borgaði fyrir allt.,Vilhjálmína,Leyla,2
3TCFMTM8HG2SETQ4EYV07Y8BFHM215-1,Blær missti af strætó og var orðinn sein í bílprófið. Hún hafði beðið lengi eftir því að taka _.,strætóinn,bílprófið,2
38F60IALAGF7XE0SHWZW2IAIK43T0O-1,Mævu finnst gaman að skrifa bréf til vina sinna en ekki Heklu. _ finnst gaman að rækta vinskap.,Mævu,Heklu,1
31KSVEGZ34QNPPOL6ENM9YI4XLYWRN-1,Hermaðurinn bjó sig undir bardagann með því að gera við hjálminn en ekki skjöldinn af því að _ var óskemmdur,hjálmurinn,skjöldurinn,2
3NOEP8XAU40H2CDW3RFJ6MWW583XPI-1,"Arnóra var í klukkutíma að ákveða hvar átti að borða á meðan Jóhanna var að reka á eftir henni, vegna þess að _ var að svelta.",Arnóra,Jóhanna,2
3WPCIUYH1A61WY1MT8NRHPU199YDTE-1,Sigdóru fannst gaman að finna á sér en ekki Heklu. _ keyrði bílinn á leiðinni heim úr veislunni.,Hekla,Sigdóra,1
3D3B8GE892PR1GVY0B95QJAEY4Y9PV-1,Friðrika var hissa á því að Níelsa hefði orðið ólétt í fríinu frá skólanum því _ hélt að hún væri hrein mey.,Friðrika,Níelsa,1
371Q3BEXDH73KZT3WQ7YYCHIV8CZSS-2,Fjölskylda Hellu átti sundlaug en ekki fjölskylda Jóneu svo _ fór ekki að synda á hverjum degi heima hjá sér.,Jónea,Hella,1
39I4RL8QGLVDLIQ5K1H9S0LFECS4HW-2,Dagga bryddaði upp á samræðum við Engilbertínu vegna þess að _ vildi sýna henni áhuga og hún vildi að þær kynntust betur.,Dagga,Engilbertína,1
3S1L4CQSFX3TFMG9EER0AK7U2EUAF5-2,Þorsteini fannst betra að labba á þægilegra yfirborði þannig að hann skipti teppinu út fyrir mottu því yfirborðið á _ var þægilegra.,mottunni,teppinu,1
382GHPVPHU5YRAJ65GS7O6K6XEV43S-1,"Syni mínum líkaði síður boltana sem hann fékk en við frisbídiskana, því _ voru notaðir.",boltarnir,frisbídiskarnir,1
