ctx_a,ctx_b,ctx,endings,id,ind,activity_label,source_id,split,split_type,label
"[haus] Hvernig á að þyngja börn [titill] Leita að undirliggjandi vandamálum. [skref] Sumir krakkar, eins og sumir fullorðnir, eru einfaldlega slappir frá náttúrunnar hendi og eiga erfitt með að þyngjast. Þó ætti að reyna að útiloka aðrar ástæður fyrir því að barnið eigi erfitt með að þyngjast.",,"[haus] Hvernig á að þyngja börn [titill] Leita að undirliggjandi vandamálum. [skref] Sumir krakkar, eins og sumir fullorðnir, eru einfaldlega slappir frá náttúrunnar hendi og eiga erfitt með að þyngjast. Þó ætti að reyna að útiloka aðrar ástæður fyrir því að barnið eigi erfitt með að þyngjast. ","['Þetta gæti t. d. verið: [Efnisorð] Aldurstengd vandamál-bæði unglingar og fullorðnir 12 ára og eldri geta átt við ýmis læknisfræðileg og heilsufarsleg vandamál að stríða, s.s. hjartaáfall, hjartasjúkdóm, legkrabbamein, nýrnabilun eða hjartasjúkdóm. Félagslegur þrýstingur-þið eruð kannski fólkið sem eitt barnið er á kynþroskaskeiði með, þar sem það á erfitt með að vera með.'
 'Ef barnið er ekki í réttum stærðarfatnaði er einnig hægt að sjá mótstöðu barnsins við að vera í viðeigandi lengd. [Undirskrefi] Fullorðnir, sérstaklega börn yngri en 12 ára og eldri, þurfa að huga að kynvitund.'
 'Börn eru alræmd fyrir að vera „pikk-átandi“ en ef barnið hefur einfaldlega lítinn áhuga á að borða getur það verið merki um einhvers konar læknisfræðilegt eða sálfræðilegt vandamál. Hormóna- eða efnaskiptavandamál eins og sykursýki eða ofvirkni skjaldkirtils getur stundum verið orsök lélegrar þyngdaraukningar.'
 '[Efnisorð] Spyrjið barnið um matarfráhvarf sem getur hjálpað til við að greina vandann og gera hann viðráðanlegri. Ef barnið kvartar yfir þunglyndi eða depurð eftir að hafa borðað óhollan mat skal leita álits hjá lækni barnsins eða einstaklingi.']",hellaswag/validation/5272,15167,Family Life,wikihow~10920,val,zeroshot,2
"[haus] Hvernig á að spila farmville [titill] Byrjaðu rólega. [skref] Það kann að virðast freistandi að reyna að búa til risastórt bú strax, en vertu þolinmóður. Það er betra að byrja rólega en að missa allt féð strax.",,"[haus] Hvernig á að spila farmville [titill] Byrjaðu rólega. [skref] Það kann að virðast freistandi að reyna að búa til risastórt bú strax, en vertu þolinmóður. Það er betra að byrja rólega en að missa allt féð strax. ","['[titill] Veistu hvenær þú ferð aftur í ræktun. [skref] Hver ræktun tekur ákveðinn tíma að vaxa (þ.e.'
 'Leyfðu ímyndunaraflinu að fljóta með og gerðu lista yfir möguleika. [ Titill] Veldu kort af sveitabæjum til að nálgast betur.'
 '[titill] Ekki stela neinu frá leikmönnum. [skref] Taktu bara það sem þú þarft og láttu það fylgja með.'
 'Að byrja hratt er jafn skaðlegt fyrir arðsemina og að fjárfesta vel. Ef þú vilt lengja bakpokaferðalagið þitt á leiðinni skaltu fara strax í óvissuferð.']",hellaswag/validation/7555,32014,Computers and Electronics,wikihow~10920,val,indomain,0
"[haus] Hvernig á að endurfjármagna námslán [titill] Meta lánin. [skref] Lán til námsmanna með ríkisábyrgð eru fjármögnuð af hinu opinbera og hafa ýmsa kosti. Einkalán til námsmanna geta komið frá ýmsum lánveitendum, þar á meðal frá bönkum, lánastofnunum, ríkisstofnunum eða skólum.",,"[haus] Hvernig á að endurfjármagna námslán [titill] Meta lánin. [skref] Lán til námsmanna með ríkisábyrgð eru fjármögnuð af hinu opinbera og hafa ýmsa kosti. Einkalán til námsmanna geta komið frá ýmsum lánveitendum, þar á meðal frá bönkum, lánastofnunum, ríkisstofnunum eða skólum. ","['Almennt eru vextir á ríkislánum lægri en á almennum lánum. Sum ríkislán veita einnig greiðslufrest við útskrift.'
 '[Efnisorð] Þú verður að hafa háskólanámsmarkmið að leiðarljósi í námslánaferlinu. Þú getur einfaldlega farið í ferlið án þess að greiða nauðsynlegar afborganir (vexti af námslánaláninu) sem þú getur greitt með því að nota staðlaða endurfjármögnunarvexti.'
 'Gallinn við ríkistryggð námslán er að þau eru oft ekki eins örugg og því er erfiðara að endurfjármagna þau. [Undirskrefi] Þessi lán ganga á móti afborgunum ríkis og ríkisskulda sem leiðir til þess að þú endurfjármagnar þig.'
 '[Efnisorð] Áður en þú reynir að endurfjármagna með þessum hætti skaltu ráðfæra þig við yfirmann í banka og ræða við hann um áform þín. Með lánum er verið að koma á fót teymi til að koma eignunum í betri stöðu fyrir skólann.']",hellaswag/validation/9501,46268,Finance and Business,wikihow~10920,val,indomain,0
"[höf.] Hvernig á að biðjast afsökunar eftir heitar deilur [titill] Forðastu afsakanir. [skref] Þó þú veljir að biðjast afsökunar er ýmislegt sem þú ættir að varast. Ekki reyna sjálfkrafa að réttlæta staðhæfingar þínar eða hegðun, eða reyna að ítreka af hverju þú hafðir rétt fyrir þér um hvað sem þú varst að rífast um.",,"[höf.] Hvernig á að biðjast afsökunar eftir heitar deilur [titill] Forðastu afsakanir. [skref] Þó þú veljir að biðjast afsökunar er ýmislegt sem þú ættir að varast. Ekki reyna sjálfkrafa að réttlæta staðhæfingar þínar eða hegðun, eða reyna að ítreka af hverju þú hafðir rétt fyrir þér um hvað sem þú varst að rífast um. ","['Ef þú vilt útskýra eitthvað fyrir mér, sýndu þá einhverja iðrun með því að ljúga eða forðast viðfangsefnið þegar þú biðst afsökunar. [undirskrefum] Reyndu að takmarka þig ekki við afsakanir.'
 'Huga að orðavali og nálgun til að koma í veg fyrir að afsökunarbeiðni sé gefin sem er í raun ekki afsökunarbeiðni. [Undirskrefi] Forðast „efs“ og „buts“.'
 'Biðjast afsökunar af virðingu, en gerðu ekki rétt í upphafi. Forðast þær sem gefa svigrúm fyrir viðeigandi afsökunarbeiðni.'
 'Reyndu þess í stað að byggja upp jákvæð tengsl í sjálfum þér við hinn aðila með því að hugsa um hvers vegna þú sagðir það sem þú sagðir, hvers vegna þú gerðir það og hvort þú værir í raun aðal sökudólgurinn eða ekki. Ekki láta þig flækjast tilfinningalega með því að gagnrýna eða afsaka.']",hellaswag/validation/4735,11473,Family Life,wikihow~10920,val,zeroshot,1
[haus] Hvernig á að ná vaxi af borðdúk [titill] Frysta vaxdropann. [skref] Auðveldasta leiðin til þess er að brjóta borðdúkinn saman með vaxinu á ysta laginu og setja allan dúkinn í frysti. Einnig er hægt að fylla poka af ís og setja íspakkann ofan á vaxið á meðan dúkurinn er enn lagður á borðinu.,,[haus] Hvernig á að ná vaxi af borðdúk [titill] Frysta vaxdropann. [skref] Auðveldasta leiðin til þess er að brjóta borðdúkinn saman með vaxinu á ysta laginu og setja allan dúkinn í frysti. Einnig er hægt að fylla poka af ís og setja íspakkann ofan á vaxið á meðan dúkurinn er enn lagður á borðinu. ,"['[titill] Þekja botnseiminn með vaxinu. [skref] Láta vaxið harðna aðeins áður en þið leggið það út í sólarljósið.'
 '[titill] Notið leiðinlegan hníf, t.d. smjörhníf, eða negluna til að skafa frosið vax varlega af borðdúknum. [skref] Ef borðdúkurinn er úr blúndum skal gæta þess sérstaklega að rífa ekki blúndurnar þegar vaxið er skafið.'
 'Einnig er hægt að hafa íspakkana áfram í allt að tvo daga. [titill] Hitið vatn í 180of (14oc).'
 '[Efnisorð] Það gæti verið sniðugt að pakka öllum borðdúknum í frystipappír fyrst. Ísinn mun binda allt vax sem rennur til að það safnist ekki mikið upp með tímanum.']",hellaswag/validation/9106,43369,Home and Garden,wikihow~10920,val,indomain,1
Maður gengur upp og tekur upp lóð.,he,Maður gengur upp og tekur upp lóð. he,"['vegur og leggur aftur niður.'
 'lyftir henni yfir höfuðið og missir hana á sandinn.'
 'lyftir henni yfir höfuðið og missir hana á gólfið.'
 'lyftir því upp að öxlum og svo yfir höfuðið.']",hellaswag/validation/322,4481,Clean and jerk,activitynet~10920,val,zeroshot,3
Á skjánum birtist kynning á myndbandi sem sýnir hvernig hægt er að spila mismunandi lög á fiðlu.,maður,Á skjánum birtist kynning á myndbandi sem sýnir hvernig hægt er að spila mismunandi lög á fiðlu. maður,"['situr hægra megin og spilar á hljómræna gítarinn sinn og talar við myndavélina.'
 'er sýndur að hann er að spila á saxófóninn á heimili sínu.'
 'með eyrnavörn er sýnt að spila og skipta um nótur.'
 'kemur á skjáinn með fiðlu og byrjar að útskýra mismunandi tækni við að spila á fiðlu.']",hellaswag/validation/290,4088,Playing violin,activitynet~10920,val,zeroshot,3
Argentínumenn stela sendingu sem er hálfnuð yfir sandinn og taka hana niður fyrir mark í þröngu horninu.,þetta,Argentínumenn stela sendingu sem er hálfnuð yfir sandinn og taka hana niður fyrir mark í þröngu horninu. þetta,"['Stundum er litla stúlkan í grænum poncho og hún er að taka sér tíma í að ganga yfir sandinn.'
 'er strax fylgt eftir með öðru marki frá Argentínu í vítaspyrnukeppni.'
 'er síðan endurtekin aftur og aftur.' 'heldur áfram í mjög langan tíma.']",hellaswag/validation/1606,24338,Beach soccer,activitynet~10920,val,indomain,1
[haus] Hvernig á að punktklippa hár [titill] Blautið hárið og kúfið úr því öll flækjustig. [skref] Til að ná sem bestum árangri skal þvo og skola hárið áður en byrjað er að klippa það. Á meðan hárið er enn blautt skal kúfa í gegnum það til að losa um flækjustig og fjarlægja laus hár.,,[haus] Hvernig á að punktklippa hár [titill] Blautið hárið og kúfið úr því öll flækjustig. [skref] Til að ná sem bestum árangri skal þvo og skola hárið áður en byrjað er að klippa það. Á meðan hárið er enn blautt skal kúfa í gegnum það til að losa um flækjustig og fjarlægja laus hár. ,"['[Efni] Þurrka skal og rétta hár sem er í bandi eða þétt saman áður en það er punktklippt. [Titill] Stingið þunnum, 2 tommu (5 cm) löngum hársniðum í fingurna.'
 '[titill] Losaðu þrjóskuleg gómin með hárúða. [skref] Hristið nokkra metra af hárinu út og notið breitt tannbeinslegg til að vinna varlega í gegnum gómin.'
 '[titill] Klippt frá neðsta hluta höfuðs. [skref] Byrjað er frá hárlínu og farið niður á hnakkann þar til komið er að miðju höfuðs.'
 'Láttu það þorna áður en þú byrjar að klippa. [Undirskrefi] Ólíkt því að stríða eða grófklippa er auðveldara að stríða með hári sem er aðeins rakt eða aðeins þyngra en það sem er stríðt og grófklippt.']",hellaswag/validation/9412,45622,Personal Care and Style,wikihow~10920,val,zeroshot,0
Drengur stendur á körfuboltavelli og heldur á bolta. Aðrir leikmenn sveima drenginn sem heldur á boltanum.,drengurinn,Drengur stendur á körfuboltavelli og heldur á bolta. Aðrir leikmenn sveima drenginn sem heldur á boltanum. drengurinn,"['sveiflar boltanum og sleppir.'
 'snýst við og hittir boltann í átt að körfunni.'
 'snýst og lætur boltann rúlla á jörðinni.'
 'kasta boltanum til leikmanns undir hólknum.']",hellaswag/validation/1666,25498,Layup drill in basketball,activitynet~10920,val,zeroshot,3
[titill] Hvernig á að búa til útieldstæði úr fataþvottakerru [titill] Fáðu þér gamla fataþvottakerru sem ekki er notuð. [titill] Opnaðu lokið á þvottavélinni og fjarlægðu toppinn á hristaranum til að koma í veg fyrir að boltinn haldi hristaranum á sínum stað. [titill] Fjarlægðu boltann og fjarlægðu hristarann úr kerrunni.,,[titill] Hvernig á að búa til útieldstæði úr fataþvottakerru [titill] Fáðu þér gamla fataþvottakerru sem ekki er notuð. [titill] Opnaðu lokið á þvottavélinni og fjarlægðu toppinn á hristaranum til að koma í veg fyrir að boltinn haldi hristaranum á sínum stað. [titill] Fjarlægðu boltann og fjarlægðu hristarann úr kerrunni. ,"['[skref] Notaðu einnig saumrif til að fjarlægja boltann sem heldur  agitator á sínum stað. [titill] Settu á þig hreina svuntu og hanska.'
 '[titill] Hristið fötuna vel og setjið rusl í þvottavél og fötu. [titill] Setjið vatnshylkið í uppþvottavél til að virkja festinguna á hristaranum.'
 '[titill] Takið málmkrana í miðju baðkarsins. [skref] Þetta er gert með því að setja vatnsdælufyllingar í gróið í málmkrana og slá fyllingarnar með hamri í rangsælis stefnu þar til búið er að losa um krókinn.'
 '[titill] Hjólafestingar eru beygðar í hornum þannig að þær þjóni hlutverki „gírs“ til að styðja við dælu ofnsins. [titill] Notað er hvítt lím, límt á síu, mótor, hlíf og heitan disk og soðið um brún hlífarinnar.']",hellaswag/validation/4442,9112,Home and Garden,wikihow~10920,val,indomain,2
[haus] Hvernig á að þrífa flögur [titill] Þrífa með svampi. [skref] Velja lítið notaðan svamp-ekki þann sem þú ætlar að nota á uppvask. Leggja svampinn í heitt vatn ásamt smá af uppvasksápu.,,[haus] Hvernig á að þrífa flögur [titill] Þrífa með svampi. [skref] Velja lítið notaðan svamp-ekki þann sem þú ætlar að nota á uppvask. Leggja svampinn í heitt vatn ásamt smá af uppvasksápu. ,"['Nuddaðu flipaflotana kröftuglega til að fjarlægja óhreinindi og drullu. Ef það er erfitt að fjarlægja: farðu í hanska og notaðu þunnt handklæði eða servíettu til að hjálpa þér að losa þig við drulluna.'
 'Þegar vatnið breytist í uppþvottalegi skaltu hreinsa burt óhreinindi og flögur sem eftir eru. [Undirskrefi] Gæta skal að saumum flipafloppanna ef þvegið er með ull eða bómull.'
 'Þurrkaðu þjáða strigaskóna með svampinum og notaðu hringhreyfingar. [ Titill] Dýfðu mjúkum klút í sápuvatnið.'
 'Með því er hægt að fjarlægja allar sápuleifar af botni flipaflaskunnar og gera hana mýkri sem getur hjálpað til við að hún endist lengur. Hreinsa skal allt yfirborð flipaflaskunnar til að jafna út örverur, óhreinindi og fitu.']",hellaswag/validation/6724,25665,Personal Care and Style,wikihow~10920,val,zeroshot,0
