text;corruption_type;label
Gylfi Þór Sigurðsson og Ögmundur Kristinsson séu líklega þeir bestu í hópnum.;;correct
Þetta frumvarp gerir það miður ekki.;delete;incorrect
Maður er stressaður að fara meiddur út af ef einhver hefur keypt mann í Fantasy innsk:, “ segir Ásgerður Stefanía Baldursdóttir, fyrirliði Stjörnunnar.;delete;incorrect
Það fara líka peningar í hæstu arðgreiðslur, einhverjar hæstu arðgreiðslur sem við höfum séð ganga ár eftir ár út úr einni atvinnugrein til eigenda sinna.;;correct
Ef ég skil hann rétt, eða samkvæmt tilfinningunni sem ég fæ, að hann mundi ekki atkvæði með því, þá velti ég fyrir mér nákvæmlega hvers vegna.;delete;incorrect
Geta ráðherrar pantað eigin að geðþótta hvaða svigrúm þeir hafa í yfirfærslu fjárheimilda milli ára eftir því hvort það er þóknanlegt eða ekki?;flip_neighbours;incorrect
Við höfum rifjað upp og söguna það er hægt að benda á ýmislegt.;flip_neighbours;incorrect
Nú er búið að krukka í það a. m. k. þrisvar sinnum.;;correct
Virðulegi forseti. Mig langaði að spyrja hv. þm. Pétur H. Blöndal tveggja spurninga, aðra mér til fróðleiks.;;correct
Nú vitum við öll að þetta er viðurkenning á því að þjóðin eigi auðlindina.;;correct
Þar af er þetta annar sigur hans í mótaröðinni 2016.;;correct
Svo kemur og maturinn veitingaþjónustan með 7 <percent/> og svo kannski eitthvað annað með 25,5 <percent/>.;flip_neighbours;incorrect
Ég hef sagt að við sjálfstæðismenn séum tilbúin til að auðlindaákvæðið setja inn í stjórnarskrá.;flip_neighbours;incorrect
Að finna þessa miklu umfjöllun sem er í gangi og þetta gefur manni byr báða vængi að halda áfram, “ segir Ásgerður.;delete;incorrect
Nýr listi var gefinn út í morgun.;;correct
það hefur veruleg verðlags- og félagsleg áhrif tengingar sem þarf að huga að.;delete;incorrect
Þá getum við kosið um nýja stjórnarskrá og þá verðum við kannski komin með nýja stjórnarskrá innan árs.;;correct
Stuðlar þetta miklu frekar að því að allt verði eins og landbúnaðarkerfið er, þunglamalegt og svifaseint, í stað þess að vera núna með ákveðna reglufestu og markaðsdrifið eins og sjávarútvegurinn er rekinn í dag.;flip_neighbours;incorrect
Það ekki nógu góð ástæða til að ráðast inn á friðhelgi einkalífsins.;delete;incorrect
Geir Þorsteinsson sem verið hefur formaður Knattspyrnusambands Íslands frá 2007 ætlar ekki að gefa kost á sér til endurkjörs formanns á ársþingi sambandsins í.;delete;incorrect
Besti tími Collins var áður 9,96 sek. frá því í júlí 2014 en bætti nú sitt besta og um leið landsmetið í Saint Kitts og Nevis um þrjá hundraðshluta úr.;delete;incorrect
Ég tók eiginlega ekki eftir því hvort þingmaðurinn beindi einhverri sérstakri spurningu til mín.;;correct
Ég veit ekki alveg hvernig ætti að vinna þetta tiltekna frumvarp frekar vegna þess að það er svo, nú vantar mig aftur íslenska orðið fyrir „ brutal “ frumvarpið tekur einfaldlega út gömlu lögin.;;correct
Virðulegi forseti. Ég þakka þm. hv. Brynjari Níelssyni fyrir fína ræðu.;flip_neighbours;incorrect
Samt er þetta einfaldasta nú greinin, hlaupa bara hratt.;flip_neighbours;incorrect
Þau koma inn í málið þegar við förum að tala um skuldavanda og heimilanna þá neyð sem krefst þess að við söfnum umræddum upplýsingum.;flip_neighbours;incorrect
Mig langar að biðja hana að útskýra aftur í stuttu máli hvað það er í tillögum minni hlutans, þessum aukningum hér frá minni hlutanum, af hverju það skiptir svona miklu máli og ef ekkert verður að gert, ekkert bætt í, hvað við sjáum þá fram undan.;delete;incorrect
Ísland endaði í þriðja sæti og leikur um fimmta sæti á mótinu við en hvern kemur í ljós síðar í dag.;flip_neighbours;incorrect
Það skilar ekki hagnaði til ríkisins per se þó þeir aðilar yrðu til dæmis að færa niður eign sína í íslensku bönkunum og láta hana fyrir afslátt, þá það þeir sem tapa en ekki við sem græðum.;delete;incorrect
Við erum að ræða um fleiri þætti og fleiri úrbætur á þeim vegi sem mér fannst sveitarstjórnarfólkið rökstyðja mjög vel að hægt væri að fara í.;;correct
Hér stoppar allt of margt og við erum ekkert ofboðslega enn klár sem komið er að tala saman.;flip_neighbours;incorrect
Ég hef lært að það er miklu betra að við förum í gegnum þetta og það tók ekkert langan tíma í sjálfu sér.;;correct
Getur hv. þingmaður upplýst um þær umræður sem hafa átt sér stað innan samgöngunefndar?;;correct
Í grunninn aftengir hún eitt element sem þarf að vera til staðar upp að vissu marki, er það það að á vissum tímum þarf að rýra verðgildi peninganna.;flip_neighbours;incorrect
Það sem gerðist í nefndinni þá vænti ég þess fastlega að hv. þingmaður meini nefndarfundinn sem haldinn var eftir þingfund á fimmtudag var að við í minni hlutanum stungum upp á því málið yrði tekið upp á haustþingi og við mundum frekar ræða aðrar útfærslur, svo sem þær sem hv. þingmaður spyr út í.;delete;incorrect
Það skilar ekki hagnaði til ríkisins per se þó þeir aðilar yrðu til dæmis að færa niður eign sína í íslensku bönkunum og láta hana fyrir afslátt, þá eru það þeir sem tapa en ekki við sem græðum.;;correct
Það er ekki af neinni meinbægni út í forsetaembættið að ég geri það sérstaklega að umtalsefni hér en það vill bara svo að ég man að það fékk tvo myndarlega liði til hækkunar afgreidda við afgreiðslu fjárlaga í sama mánuði síðasta árs upp á 16 milljónir og annan rúmlega.;delete;incorrect
Svo smám heillaðist saman ég af íþróttinni.;flip_neighbours;incorrect
Nú er búið að krukka í a. það m. k. þrisvar sinnum.;flip_neighbours;incorrect
Jason Day, Dustin Johnson, Shane Lowry, Rory McIlroy, Graeme McDowell, Adam Scott, Louis Oosthuizen, Vijay Singh og Jordan Spieth eru allir í hópi þeirra sem hafa afboðið á leikana.;delete;incorrect
Eins og ég fór yfir ræðu í minni hv. þingmaður hefur kannski brugðið sér aðeins frá þá var þetta misræmi einmitt ein meginstoð þess sem ég fjallaði um.;flip_neighbours;incorrect
Það er umræða sem ég bíð með þar til í síðara andsvari mínu.;;correct
Hv. þingmaður ræddi niðurskurðinn til Vinnumálastofnunar og mér finnst það líka athyglisvert að starfsendurhæfingarsjóður dettur alveg út úr tryggingagjaldinu.;;correct
Íbúðalánasjóð varðandi er staða hans vissulega alvarleg og er meiri hlutinn gagnrýninn á það hve lítið hafi gerst í sambandi við málefni sjóðsins.;flip_neighbours;incorrect
Ég gerði það samt þess að ég trúi á bjartsýni, ég trúi á von.;delete;incorrect
Er það bara þetta hrun?;;correct
Það er ekki verið að reyna að gera hana betri, þannig að já, því miður held ég að það megi túlka það þannig.;;correct
Verður lögsókn sú þá ekki bara að koma fram?;flip_neighbours;incorrect
Það er einn lokapunktur um gegnsæi sem mig langar að benda á sem er sá að gegnsæi kemur ekki sjálfkrafa.;;correct
Þetta er hvimleitt vandamál sem hefur komið með tækniþróuninni.;;correct
Hitt er miklu stærra mál sem við erum ekki búin að afgreiða og við eigum ekki að afgreiða þessu, það er hvar línurnar eiga að liggja, af því að við setjum ekki bara venjulegan verðmiða á það.;delete;incorrect
Peningarnir eru í settir annað.;flip_neighbours;incorrect
Það er erfitt að taka afstöðu til einhvers í fjárlagafrumvarpi sem maður veit ekki hvað er og mér heyrist enginn vita hvernig þessi komugjöld eiga að vera.;;correct
Það væru ekki 70 <percent/> aðspurðra á móti því.;;correct
Því auk Hrafnhildar munu Eygló Ósk Gústafsdóttir og Anton Sveinn McKee keppa í úrslitum í 200 m baksundi og 100 m bringusundi.;;correct
Eldra fólk býr líka á heimilum.;;correct
Geir Þorsteinsson sem verið hefur formaður Knattspyrnusambands Íslands frá 2007 ætlar ekki að gefa kost á sér til endurkjörs formanns á ársþingi sambandsins í febrúar.;;correct
Árangurinn er sérlega merkilegur í þess að Kim Collins varð 40 ára í apríl en sýnir það að aldurinn er ekkert annað en tala, fyrst hann er enn í framför.;delete;incorrect
Já, en mörg gerðu það ekki, það er mikill breytileiki innan Evrópusambandsins.;;correct
Ég hef ekki meiri tíma en held kannski áfram í seinna andsvari.;;correct
Varðandi smábátahlutfallið í þessu verð ég að segja ég hef ekki skoðað skiptinguna á því mjög „ grundigt “.;delete;incorrect
Að öðru leyti ég þakka svör utanríkisráðherra í dag og hrósa honum aftur og hvetja hann áfram til að standa vörð um NATO.;delete;incorrect
Varðandi skattprósenturnar og hvernig við stöndum vörð um hina tekjulægstu er þetta eins og ráðherra kom réttilega inn á í sínu máli, það þarf alltaf að skoða heildarmyndina.;;correct
Því meira sem ég skoða þetta fjárlagafrumvarp, því meira undrandi ég á því að það hafi tekist að skera þó þetta mikið á hallann sem myndaðist í kjölfar hrunsins.;delete;incorrect
